"","legend","adjmat","bn","data","time","SHD_mean","TPR_mean","TPR_median","FPRn_median","TPR_q1","TPR_q3","time_mean","logscore_mean","N","labels","threshold","plus1it"
"1","Blip","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",23.37,190,0.566666666666667,0.566666666666667,1.13333333333333,0.566666666666667,0.566666666666667,23.37,100,1,NA,NA,NA
"2","Blip","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",63.44,218,0.575,0.575,1.40833333333333,0.575,0.575,63.44,100,1,NA,NA,NA
"3","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,96,0.533333333333333,0.533333333333333,0.416666666666667,0.533333333333333,0.533333333333333,21.91,100,1,NA,0.2,NA
"4","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,79,0.508333333333333,0.508333333333333,0.291666666666667,0.508333333333333,0.508333333333333,21.91,100,1,NA,0.3,NA
"5","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,69,0.483333333333333,0.483333333333333,0.241666666666667,0.483333333333333,0.483333333333333,21.91,100,1,NA,0.4,NA
"6","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,62,0.483333333333333,0.483333333333333,0.2,0.483333333333333,0.483333333333333,21.91,100,1,NA,0.5,NA
"7","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,68,0.383333333333333,0.383333333333333,0.166666666666667,0.383333333333333,0.383333333333333,21.91,100,1,NA,0.6,NA
"8","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,70,0.291666666666667,0.291666666666667,0.125,0.291666666666667,0.291666666666667,21.91,100,1,NA,0.7,NA
"9","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,72,0.233333333333333,0.233333333333333,0.1,0.233333333333333,0.233333333333333,21.91,100,1,NA,0.8,NA
"10","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,71,0.175,0.175,0.075,0.175,0.175,21.91,100,1,NA,0.9,NA
"11","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,69,0.133333333333333,0.133333333333333,0.0333333333333333,0.133333333333333,0.133333333333333,21.91,100,1,NA,0.95,NA
"12","order_mcmc_itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,80,0.0333333333333333,0.0333333333333333,0.0166666666666667,0.0333333333333333,0.0333333333333333,21.91,100,1,NA,0.99,NA
"13","itmap","generateDAGMaxParents/p=80/avpar=2","generateBinaryBN/min=0.1/max=0.9","standard_sampling/n=100",NA,92,0.533333333333333,0.533333333333333,0.416666666666667,0.533333333333333,0.533333333333333,47.53,100,1,NA,NA,NA
