Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
101,18.4,142,294,505,644,9.73,5.99,93.1,337,176
835,99.1,2110,204,6436,308,2.53,16.8,1358,164,126
150,23.9,202,710,487,422,8.66,3.11,91.4,233,433
505,69.8,4740,248,6916,661,6.38,8.98,1358,362,161
392,47,418,257,422,172,14.3,26.4,69.8,93.1,151
319,49.1,131,1037,165,777,33.1,10.6,32.8,246,578
235,37.9,750,483,1433,2148,89.8,9.56,248,1446,305
250,31.3,141,410,514,414,9.91,2.81,82,239,231
372,48.3,890,2267,2167,184,5.33,6.61,392,99.1,1747
175,32.5,723,276,205,491,3.02,7.3,35.5,262,191
542,82.8,723,717,215,1811,70.4,5.38,37.2,1018,483
274,42.2,135,426,191,362,1.63,12.9,35.2,175,250
117,23.3,385,461,723,200,3.19,4.57,137,102,294
153,13.6,146,44.1,362,403,6.85,6.79,59.9,241,17.2
104,18.9,227,583,799,914,49.1,11.1,146,505,365
403,53.8,284,1625,308,209,3.96,2.86,54.2,110,1018
562,81.3,704,851,1747,453,12.4,15,279,281,626
426,62.1,346,264,1084,124,3.75,7.23,191,61.5,175
418,73,221,1499,474,1084,54.7,7.57,78.4,599,898
137,23.9,906,764,1018,362,9.14,11,193,168,410
1433,193,375,311,914,207,2.48,40.7,167,108,170
276,34.9,108,286,246,866,4.41,1.24,62.6,429,161
340,54.7,403,667,1346,1334,8.51,12.2,225,685,375
313,55.7,154,10.4,557,547,8.35,10.1,89.8,359,13.1
331,48.7,262,368,1811,528,6.04,3.11,337,313,217
505,64.9,209,165,316,604,10.6,15,48.7,365,119
257,33.4,43.7,239,158,1124,25,30.8,22.5,679,161
352,64.4,117,57.8,698,799,2.97,13.8,133,414,39.2
262,43.3,109,1407,246,246,10.2,9.65,37.9,158,890
257,44.9,806,141,4332,583,6.38,8.9,874,325,82
392,59.9,281,100,426,422,8.28,4.61,82.8,279,67.3
505,69.2,47.4,583,99.1,679,5.23,7.7,17.8,368,368
382,55.2,248,313,723,644,31.9,10.5,108,379,186
368,56.2,172,1794,343,1640,44.5,14.5,60.4,1018,1241
461,65.5,204,410,157,202,1.39,9.82,30.2,138,259
470,72.3,1499,673,4105,200,3.96,19.8,828,105,429
248,42.6,106,325,316,1407,16.8,12.2,66.7,813,223
730,108,31.6,135,89.8,1027,61,7.1,16.7,487,90.6
478,69.8,104,362,319,649,14.9,7.04,53.8,355,188
107,21.7,114,514,198,632,1.17,9.22,30.5,322,297
113,18.1,146,300,583,1582,15.3,2.31,103,906,173
105,17.6,737,542,1230,1027,2.33,82.8,227,557,337
59.9,11.2,119,223,429,82.8,16.3,110,67.3,48.3,155
1358,196,914,1499,3587,1241,9.06,71,704,685,973
239,34.3,167,528,396,160,20.5,5.94,70.4,84.3,334
500,79.9,2187,76.4,3752,276,13.9,8.51,730,123,61
308,44.5,183,770,297,389,16.4,1.72,42.2,219,414
114,22.7,1596,396,4740,325,9.73,1.67,982,181,227
255,47.8,53.3,1084,204,1114,39.6,8.9,36.2,667,698
213,40.7,1219,343,1322,340,20.5,9.91,244,170,227
316,45.3,90.6,626,599,239,4.53,12.1,102,153,400
723,117,82,297,191,1928,17.9,9.06,30.8,1208,172
491,73,253,528,328,365,9.39,7.91,47.4,188,343
191,29.4,131,151,346,286,4.7,4.74,61,125,89
168,14.7,1420,262,1963,509,2.15,4.96,352,302,151
389,54.2,956,86.6,77,215,6.79,16.5,15.1,125,44.1
189,31.1,175,583,466,257,10.2,8.82,82,137,352
269,47,133,3685,874,1843,9.73,9.91,115,1104,2350
150,26.2,414,225,1186,289,11,1,221,173,137
155,32.2,191,813,2458,262,1.01,4.74,461,121,491
221,27.6,737,178,1568,449,7.64,9.06,279,264,136
679,104,422,346,1554,392,5,8.9,284,231,193
231,37.2,181,392,519,246,16,11.8,76.4,129,271
655,98.2,14.5,289,168,67.3,55.7,14.9,26.2,53.3,151
717,101,349,866,1611,392,19.3,12.4,244,231,528
168,26.9,355,215,717,685,66.1,2.57,106,385,115
160,21.9,1322,215,1911,368,13.3,3.89,340,181,142
233,38.5,227,437,248,1104,21.9,17.2,40.3,557,292
355,52.8,200,110,982,2943,135,5.88,167,1860,70.4
305,47.8,644,225,1208,325,3.05,27.9,198,173,127
433,58.8,1310,615,5280,519,15.1,9.39,1055,269,382
132,24.8,922,90.6,1446,644,12.3,6.85,241,375,70.4
578,87.4,461,965,1625,449,1,13.2,313,241,505
178,41.8,478,2247,1358,359,6.73,7.84,225,217,1499
470,64.9,195,379,583,422,1.64,3.05,90.6,255,239
221,38.2,106,437,117,757,14.3,1.36,25.7,389,305
340,65.5,1370,567,5674,237,10,20.5,1165,130,365
235,34.3,217,523,211,914,22.1,6.55,42.9,453,319
94.7,19.1,337,305,349,1322,13.7,70.4,61.5,757,205
241,36.5,227,4179,644,599,13.8,8.98,99.1,313,2813
453,67.9,685,262,1981,890,31.3,5.73,375,533,172
599,83.5,246,137,523,638,6.38,8.66,95.6,311,93.1
372,67.9,111,325,491,1208,17.9,9.91,76.4,743,202
407,64.4,193,284,372,514,1,17,64.9,292,178
50,14.7,470,257,931,311,6.55,44.1,142,195,151
186,30.2,292,382,764,172,1.02,9.22,131,95.6,225
37.5,2.07,80.6,284,264,1827,44.1,12.7,38.9,1094,176
599,100,1963,328,3820,1027,11.5,23.5,784,599,215
175,31.1,127,784,257,337,11.2,11.5,44.5,193,470
200,26.4,50.9,1370,127,188,8.58,5.62,20.9,96.5,939
382,44.9,229,248,250,375,5.38,2.17,45.3,225,129
523,78.4,1197,429,52.3,385,15.1,28.4,34.9,195,313
286,49.6,1472,806,4614,244,4.57,88.2,973,123,437
552,89,346,400,1252,2525,120,31.9,188,1554,227
279,48.7,219,1334,244,965,15,14.3,38.9,519,813
225,42.6,638,229,2969,1000,25.9,10.9,578,604,129
289,56.7,319,457,2035,284,11.8,26.7,340,146,284
449,74.3,866,313,1512,542,3.22,13.6,257,319,244
235,41,372,615,615,1963,34.6,6.67,124,1370,355
422,52.3,1370,610,47,292,13.3,6.1,20.2,167,368
313,69.2,191,441,235,1275,25.3,31.9,35.9,737,302
437,73,922,337,1407,98.2,8.98,20.4,231,66.1,193
509,72.3,139,523,142,692,15.1,18.1,29.4,355,284
1018,145,276,114,704,743,13,13.8,104,379,93.1
375,57.3,449,202,1084,692,17,23.7,170,429,135
161,35.5,200,2072,615,233,4.87,10.3,108,114,1358
799,125,325,211,632,414,9.31,37.5,102,235,167
207,34.3,178,770,302,141,6.61,4.96,47,71.7,567
28.6,3.72,2864,331,5003,843,17.8,71,982,483,181
632,108,160,890,93.9,588,6.98,5.14,19.6,276,519
365,55.2,1134,4451,6153,1263,157,13.6,1186,698,2890
368,63.8,319,300,562,496,5.88,9.06,93.1,289,200
1009,142,437,239,191,557,29.7,54.7,46.1,322,105
372,56.2,1027,491,1104,11.9,15.5,11.9,188,4.66,279
188,32.5,158,407,1075,828,9.47,12.1,179,422,248
121,15,66.7,1027,130,466,5.78,4.61,17.9,229,621
246,40.7,24.6,241,150,246,1.67,8.43,27.6,145,145
385,79.1,1685,191,3429,365,9.22,8.58,698,200,104
297,40.3,183,991,209,368,10.1,7.43,31.1,217,615
509,91.4,69.2,1065,271,2308,80.6,34.9,42.6,820,692
594,89,2503,221,2943,2548,40.3,23.3,542,1582,143
368,66.7,965,284,89,71,13.7,10.8,17.8,44.5,191
229,44.5,71.7,244,334,207,4.57,13.9,55.2,114,145
449,71.7,813,1625,40.3,523,10.6,11.1,3.11,276,1075
184,27.9,207,533,730,1999,47,1.09,114,1263,372
437,85.1,313,519,478,403,11.5,16.4,80.6,246,311
509,75.7,302,352,346,15.3,30.5,15.5,52.8,3.37,219
340,60.4,389,433,851,461,7.5,19.3,137,271,281
189,25.5,2864,441,6671,418,10.5,1.01,1346,215,250
103,18.4,131,433,610,583,9.39,5.05,98.2,359,284
359,58.8,368,1208,286,300,5.38,13.8,47.4,153,685
195,26.9,235,137,866,1670,30.2,9.56,126,1094,71.7
519,91.4,483,418,264,655,10,9.56,51.9,343,241
146,16.7,12.9,213,13.3,286,15.8,5.78,1,184,142
567,93.9,91.4,100,379,2458,113,39.6,65.5,1670,70.4
