Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
46.6,25.9,65.5,8.9,31.6,9.22,1.88,223,3.02,4.26,39.2
51.9,30.2,16.1,20.2,14.1,1.45,40,264,5.94,12.1,42.6
300,105,12.9,17.9,20.5,2.19,18.1,1928,6.98,3.43,5.88
519,352,35.9,18.8,59.4,1.7,16.5,1263,18.3,3.65,34.3
53.8,15.7,12.5,16,18.1,9.39,8.06,346,9.31,6.92,24.6
66.1,30.5,8.66,15.7,26.2,65.5,31.3,874,11.4,1,36.2
105,30.5,6.44,10.3,32.8,1,6.26,483,17.2,4.37,2.81
39.6,26.9,37.2,13.9,41,12.2,13.6,578,15.7,6.79,45.3
17.5,9.65,14.2,25.7,25.9,3.52,11.9,382,9.22,3.37,15.3
77,49.1,5.23,17.9,32.2,2.17,1,1568,17.5,2.81,40.3
1.55,1,2.67,54.2,37.9,21.5,7.7,50.9,12.7,1,64.9
46.6,3.92,10.6,22.1,25,1.12,9.22,173,17.2,4.87,30
36.8,22.3,25,22.5,26.2,1.01,21.9,223,12,13.2,30.5
16.1,7.3,60.4,34,38.5,1.01,15.1,276,13.6,2.29,25
18.1,6.38,18.9,19.8,47.8,4.57,30.8,973,21.9,10.2,28.4
204,126,23.9,56.7,20.4,2.41,2.05,2207,12.1,1,65.5
172,25.5,15.1,18.6,40.3,2.81,26.4,200,27.1,3.22,35.2
130,40.3,51.4,20.5,76.4,1,30.2,890,22.1,8.51,34.3
24.6,12,13.8,38.9,21.3,5.19,26.2,487,14.7,3.46,61
24.4,12.6,21.1,20.4,37.5,2.5,11.8,316,24.4,1.19,48.7
77,45.3,34.9,13.8,110,7.99,17.2,1526,42.2,8.28,35.5
13.3,13.8,9.39,44.1,23.3,1.31,6.32,349,12.7,5.42,31.9
49.6,33.7,19.6,25.5,85.1,1,21.5,396,59.4,7.3,42.6
26.4,10.7,7.84,21.9,21.9,4.66,44.9,866,17.2,9.31,78.4
