Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
14.1,4.96,85.8,13.6,30,372,37.9,851,9.14,40.7,23.5
6.98,2.76,51.4,14.7,8.43,79.9,37.9,213,1.81,14.9,16.5
52.3,25,75.7,18.9,49.1,396,48.7,750,16.3,15.3,17.8
112,73,47.4,8.51,20.7,26.2,7.3,1219,1,28.9,5.88
32.2,16.5,30.2,18.9,1,19.1,5.14,710,1,14.6,17.3
121,81.3,93.1,40,28.1,21.7,15.8,1877,7.3,20.9,47.4
37.5,11.5,60.4,12.7,27.1,124,22.5,770,6.73,11,10.6
133,89,85.1,15,46.1,34.9,14.6,407,15.1,37.2,10.3
27.4,21.9,75.7,16.5,19.1,18.4,1.22,610,2.05,4.83,13.7
23.1,13.7,72.3,17.9,45.7,17.2,17.5,604,31.3,22.3,25.5
41.4,26.2,37.9,15.7,2.41,389,59.9,359,1,60.4,13.2
248,151,41.8,50.9,33.4,23.9,4.03,3619,15,32.5,63.8
22.5,12,36.5,16.8,24.6,22.3,12.5,547,17.6,22.5,17
204,113,340,71,67.9,13,10,3308,15.3,23.9,49.6
75.7,51.4,45.7,18.6,37.9,322,54.7,235,20.2,54.2,20.4
75.7,41,42.6,13,2.21,18.1,9.31,638,1,26.4,14.5
62.1,36.2,41.8,22.9,33.7,1,15.4,1794,17.6,5.73,36.8
163,106,113,34.3,95.6,18.8,8.82,2642,31.9,20.7,14.9
217,123,44.9,81.3,5.78,26.4,23.9,1843,3.85,6.1,102
257,183,81.3,25.7,31.6,71.7,16.5,1811,4.41,59.9,16.4
126,89,21.3,15,5.88,1.01,9.73,368,1.95,3.72,22.9
61,47,52.8,86.6,38.2,294,27.1,491,23.1,64.9,80.6
202,123,46.1,6.44,3.28,16.7,18.8,3220,1.14,22.7,9.31
54.2,37.9,400,10,90.6,466,93.9,445,42.6,86.6,14.2
42.9,4.7,48.3,13.8,31.9,30.8,15.5,538,14.1,21.3,19.3
213,158,34.9,19.6,31.3,19.3,12.7,334,17.8,14.2,33.4
202,114,167,27.1,77.7,31.6,3.62,2017,33.4,34,38.5
42.6,32.2,80.6,75,17.6,29.2,3.75,615,3.37,22.7,59.4
7.99,5.33,8.06,16.7,22.7,239,28.1,328,14.6,12.2,15.3
175,97.3,76.4,32.5,55.2,34.3,5.57,2642,30.8,20.7,21.7
316,137,13.2,14.9,14.1,35.5,2.46,5829,1,22.3,30
35.2,23.1,50.5,13,5.33,37.2,1,1275,6.38,26.4,31.6
39.6,20,110,11.1,44.5,466,64.4,615,14.9,71,18.8
64.4,47,44.9,28.1,45.7,18.1,7.77,1104,23.7,6.79,7.64
43.3,29.2,53.8,59.9,40,4.41,3.19,644,25.7,1.86,40.7
186,125,30.5,28.1,9.47,403,76.4,1568,4.1,84.3,21.9
102,76.4,129,22.1,25.7,117,17.6,947,8.58,94.7,51.4
151,77.7,328,15.5,179,142,19.1,2738,94.7,53.3,30.5
21.7,7.77,43.3,13.3,7.37,359,54.2,519,10.6,74.3,8.9
17,8.9,44.5,19.1,1,19.8,7.17,588,1,11.8,37.2
223,175,70.4,9.56,42.2,146,19.3,661,10.4,16.7,13.8
35.9,20.9,32.2,25,22.5,552,93.9,331,18.3,85.1,11.1
30.8,11.4,44.9,6.79,4.33,29.2,11.1,552,3.75,28.9,17.2
15.1,4.26,106,93.1,38.5,21.1,1.01,599,23.9,17,61.5
66.7,37.5,35.2,13.7,2.33,97.3,31.3,2329,8.74,57.3,17.2
31.9,18.9,50.9,46.1,23.5,63.2,11.8,649,8.2,18.6,16.8
483,176,53.8,10.5,9.06,18.9,4.26,8354,15.1,21.3,12.1
64.9,40,27.6,26.4,20.9,414,106,1018,13,82.8,17.3
12.3,3.72,10.9,22.3,33.1,519,87.4,851,1.31,73,21.5
20.2,5.23,8.28,15.8,64.4,37.5,2.89,422,1,34.3,25.7
49.1,36.5,13.2,11.7,5.88,132,42.2,542,1.08,21.7,13.1
47.8,36.8,30.2,29.2,6.79,119,63.2,365,3.52,39.6,44.1
233,172,57.3,14.2,25.7,28.1,8.98,1075,8.58,7.1,38.2
62.6,44.9,77,35.2,32.8,276,61,418,8.43,35.9,32.2
34.3,16.1,8.06,18.8,13.7,313,54.7,704,1,54.2,34.6
19.1,3.43,62.6,12.6,42.9,57.8,19.6,655,19.5,47.8,4.96
17.2,6.26,57.3,31.9,18.9,257,57.3,382,10.5,59.4,28.4
104,59.4,139,50,72.3,19.5,12.3,337,34.3,20.7,69.8
61.5,45.7,42.6,21.3,34.3,519,87.4,1286,22.1,104,32.2
86.6,49.6,47,32.5,40,22.1,7.5,1124,23.1,17,30
81.3,77.7,64.9,19.5,13,1.07,1.55,279,7.7,1.26,40.7
27.4,26.9,231,17.2,62.6,14.6,17,433,25.5,33.1,22.1
59.9,12.3,50.5,12,27.1,262,64.9,3023,17,55.2,23.3
14.5,3.85,77,19.5,15.7,17.2,13.1,1208,11.4,20.9,24.6
132,89,12.1,93.9,28.4,29.7,1.01,1762,11.9,27.9,73
30.8,22.3,48.3,10.7,28.4,80.6,3.68,483,8.66,17.8,23.1
25,17.9,46.1,12.7,7.99,25.5,9.82,632,3.85,20.9,20.7
161,112,46.1,9.31,16.3,3.37,29.4,939,8.51,18.3,14.1
125,75,63.8,6.26,37.5,17.3,8.82,1894,19.1,20.2,16.1
22.3,3.85,48.7,15.8,7.23,32.2,8.98,328,1.47,21.3,22.1
94.7,29.2,137,45.7,66.7,16.8,10.3,1715,32.8,16.1,44.9
271,167,44.1,52.3,12.2,233,49.1,2207,6.85,35.9,62.6
95.6,65.5,36.2,62.6,26.4,17.5,15.7,1433,13,21.3,45.3
43.3,19.6,7.77,20.2,4.57,30.2,10.4,573,2.69,24.8,19.5
33.1,20.5,62.1,16.3,62.1,85.8,17,922,43.7,14.3,17.8
154,66.1,68.5,13.9,40.7,19.5,8.43,2329,18.6,18.9,14.2
110,56.2,81.3,43.3,24.8,284,60.4,1762,22.1,53.3,77
56.2,44.1,76.4,18.3,59.4,41.4,13.1,750,35.5,15.7,6.44
58.8,31.1,48.7,18.4,47,1.75,8.13,407,18.8,5.05,14.3
32.5,14.9,45.3,54.7,15,211,41.4,588,5.99,40,30.2
103,44.9,58.3,21.9,18.6,40.7,7.91,3460,1.18,35.5,13.5
137,74.3,92.2,52.3,24.6,31.3,14.6,1794,9.39,30.8,93.9
130,35.5,59.9,9.65,49.6,40.3,18.1,2763,36.8,37.5,24.6
19.3,3.37,56.7,11.7,31.1,16.7,15.1,470,13.7,23.5,19.8
72.3,50,91.4,19.8,62.1,19.8,1,673,37.2,24.4,30.2
54.2,42.9,81.3,23.7,47,41.8,26.2,538,10.6,7.77,18.1
172,104,63.2,13.2,30.8,46.6,15,1747,20.4,32.5,13.8
127,78.4,30,14.6,29.4,32.8,11.4,1596,13.6,22.9,19.1
168,106,13.9,16.3,8.28,176,10,2571,9.39,26.7,20
204,119,13.2,11.5,67.3,42.6,103,2480,58.3,14.5,23.1
24.1,18.4,132,28.6,66.1,61.5,16.4,717,6.73,18.3,25.3
57.8,40,55.7,20.5,20.4,445,55.2,359,11.8,31.1,25
44.1,33.1,37.9,7.04,37.9,24.4,8.66,750,13.5,21.7,17
219,121,37.5,22.3,22.5,17.2,1.38,1999,7.37,20,29.7
56.2,35.2,47.4,17.5,26.7,77.7,17.5,340,4.37,23.9,22.5
352,137,157,33.1,85.8,311,48.7,4698,47,37.9,61
66.1,44.9,42.9,10.1,23.7,27.9,3.28,403,7.17,28.1,17.3
15.1,5.09,88.2,109,39.2,161,48.7,644,16.3,41.8,129
25.3,3.46,48.3,16.4,36.2,22.5,16.5,578,7.17,21.1,21.3
30.5,17.9,79.1,41.4,34.3,319,38.9,956,18.6,24.8,91.4
20.5,9.39,13.8,22.3,12.9,35.9,13.5,382,1,27.6,14.7
17,7.77,49.6,10.1,24.8,4.1,2.25,982,9.22,5.38,19.3
