praf,pmek,plcg,PIP2,PIP3,p44_42,pakts473,PKA,PKC,P38,pjnk
26.4,13.2,8.82,18.3,58.8,6.61,17,414,17,44.9,40
35.9,16.5,12.3,16.8,8.13,18.6,32.5,352,3.37,16.5,61.5
59.4,44.1,14.6,10.2,13,14.9,32.5,403,11.4,31.9,19.5
73,82.8,23.1,13.5,1.29,5.83,11.8,528,13.7,28.6,23.1
33.7,19.8,5.19,9.73,24.8,21.1,46.1,305,4.66,25.7,81.3
18.8,3.75,17.6,22.1,10.9,11.9,25.7,610,13.7,49.1,57.8
44.9,36.5,10.4,132,16.3,8.66,17.9,835,15,35.9,18.1
47.4,15,14.6,30.5,17.5,20.2,45.3,466,6.44,24.4,20
104,61.5,10.6,21.1,41.8,11.5,23.5,445,29.2,61,25.3
21.1,21.5,1.88,205,43.7,13.2,135,213,14.6,26.7,101
16.4,16.4,14.5,17,11.2,21.9,34.6,449,20.4,44.9,24.1
74.3,22.9,7.5,15.5,26.2,20.9,36.5,389,31.9,71,35.5
85.1,39.6,8.9,64.9,11.7,6.67,12.2,528,17.9,44.1,118
36.8,29.2,5,9.06,15.5,17.9,17.9,400,14.6,41.4,151
29.2,24.1,10.2,16,46.6,8.82,7.23,500,9.73,19.1,7.91
50,13.8,11.9,13.2,11.3,18.1,27.9,392,56.2,77,1
26.2,26.7,21.3,10.9,14.7,9.06,37.9,89,40,65.5,1.42
39.6,38.2,10.5,92.2,22.7,27.6,31.3,223,16.5,30.8,7.64
30.5,19.8,7.5,133,15.7,19.1,36.2,319,24.1,37.2,17.2
49.1,16.5,13.3,141,25.7,31.1,62.1,710,14.2,27.4,22.1
38.5,8.9,11.3,85.8,17.9,12.1,35.9,843,12,28.4,20.9
31.6,17.8,14.5,10.6,4.91,10.2,23.9,276,13.8,28.4,12.7
41,27.9,1,137,23.9,30.2,50,965,1,84.3,4.61
70.4,54.2,15.4,24.4,12.9,9.91,27.9,449,35.9,93.9,48.3
70.4,42.2,17.6,20.9,10.5,59.4,98.2,1981,35.9,46.1,17.8
21.5,1,8.28,181,43.7,18.8,38.5,644,13.6,29.2,7.04
39.2,23.1,18.6,22.1,10.6,17.8,32.2,466,10.5,23.3,6.98
69.8,20.4,19.8,18.4,6.26,10.4,25,500,22.7,48.3,59.4
34.9,22.3,17.2,50,23.1,34.3,51.4,308,13.2,38.9,196
40.7,24.8,13,62.6,38.2,5.14,14.7,673,28.1,41.8,23.1
45.7,15.7,13.2,21.3,7.5,23.9,49.1,1382,19.5,38.5,20.9
43.7,29.2,14.5,17.6,13.1,8.58,12.5,621,34,67.9,28.1
79.9,80.6,4.41,209,19.5,10.5,35.5,422,26.9,40.3,15.3
56.7,17.3,21.7,18.1,12.7,9.22,22.9,552,38.5,59.9,17.9
58.8,19.5,2.57,41.4,2.21,19.1,33.7,325,22.9,31.9,20.7
53.8,12.7,10.9,12.4,30.8,20.2,37.9,403,22.5,38.5,20.9
58.3,23.1,18.9,79.1,24.4,36.2,48.7,429,14.7,28.9,12.6
160,28.1,7.1,115,16.1,4.96,12.4,1241,2.46,31.3,83.5
45.3,9.39,12.2,53.8,27.6,4.29,27.6,599,38.2,80.6,139
54.7,28.4,8.35,9.39,20.7,38.5,59.9,898,12.7,23.7,13.5
85.1,26.9,25.3,47.8,22.9,13.6,14.2,396,4.74,8.98,43.3
109,43.7,9.47,343,60.4,27.1,42.6,319,14.9,37.9,17.8
25.7,15.3,1,120,23.7,2.69,18.9,10.2,4.96,40.3,221
50.5,28.1,27.6,28.9,13.8,14.7,24.8,382,15.3,20,7.7
69.2,17.8,17.8,62.1,23.1,2.71,13.3,562,4.45,20,105
62.6,19.3,8.51,20.9,39.2,4.49,24.8,474,23.5,48.7,22.5
67.9,43.7,11.4,19.3,15.8,17.8,38.5,1433,31.9,66.7,40
75,57.8,4.91,15.4,24.6,21.9,36.2,233,21.3,46.1,17
50.9,42.2,7.57,122,48.3,6.26,36.2,1027,12.5,32.8,108
79.9,20.4,24.1,22.5,20,8.82,24.1,466,19.1,34.9,6.15
62.6,21.7,21.9,22.1,3.82,39.2,75.7,1310,8.74,22.7,11.7
50.9,25.3,6.38,76.4,17.2,9.06,15.4,673,4.66,26.9,173
75,30.5,13.6,51.4,42.2,25.3,35.5,466,20.4,43.7,10.1
59.4,25.3,11.7,20.7,27.9,3.62,12.4,29.7,17.2,32.5,10.5
181,37.9,1,292,49.6,6.38,13.1,573,20.9,38.2,17.6
69.8,33.1,12.7,67.3,1.91,4.07,27.1,973,85.8,121,32.5
57.3,19.1,11.1,42.2,6.61,5.83,13.5,547,44.9,80.6,71.7
82.8,30.5,13.9,18.6,6.92,23.5,37.5,418,6.55,16.7,95.6
35.5,24.6,15.7,35.5,11.9,21.9,45.7,322,6.79,23.3,11.9
80.6,27.9,17.9,42.6,17.3,2.84,20.7,188,20.7,33.1,17.5
113,45.7,10.8,154,58.3,13.1,21.5,337,5.47,20,9.39
8.9,10.1,10.3,89,29.4,181,355,1731,24.1,42.2,20.7
35.2,14.1,7.1,20.2,32.2,12.9,22.5,583,37.5,47.4,9.47
24.1,12.3,12.7,62.6,26.7,9.14,16.5,547,25.7,59.9,80.6
164,33.1,5.78,28.6,13.7,16.3,24.1,319,22.5,35.5,12.4
57.8,27.1,15.5,57.3,19.5,25.9,34.6,382,3.05,27.1,78.4
90.6,27.4,40,97.3,71,10.9,18.9,429,4.45,42.9,80.6
38.5,12.7,4.37,22.7,23.7,4.22,10.8,578,1.86,7.37,3.43
51.4,36.8,12.7,40.3,21.7,12.7,25.9,667,2.5,14.9,64.9
26.9,15.1,18.6,20.5,8.43,20.4,38.5,437,11.7,24.4,15.4
56.2,21.1,12.7,21.1,57.8,14.1,19.8,474,25.9,39.6,75.7
70.4,35.5,18.4,45.7,47.8,18.8,31.6,418,10,22.3,6.67
58.8,35.2,12.2,16.5,24.1,18.4,33.7,362,16.3,19.8,10.4
