Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
22.1,16.1,20.2,22.3,27.6,142,9.06,661,6.55,17.5,36.5
3.79,2.07,74.3,31.9,26.9,426,41,27.1,13.9,34,47.8
32.5,9.39,54.2,62.6,24.6,19.3,13.8,483,9.82,19.5,79.1
33.7,23.3,77.7,10.1,25.5,284,49.1,621,12.5,41.4,17
44.5,28.6,52.8,28.9,26.7,81.3,11.5,379,8.82,13.8,41.4
29.2,14.2,6.38,10.7,54.2,15.4,15.8,626,6.73,12.5,29.2
34.6,24.8,31.9,26.7,12.9,8.98,9.39,500,5.88,9.82,61
14.1,7.1,14.9,32.8,23.3,403,64.4,1252,6.98,87.4,33.1
25.5,10.9,5.78,102,15.1,359,68.5,828,4.78,69.8,106
24.4,20,31.6,5.62,28.6,168,22.9,414,9.22,26.2,33.7
67.3,7.43,40,26.9,25.7,106,19.8,352,8.06,25.5,52.8
22.9,12.6,70.4,26.7,20.4,153,42.6,939,13.2,44.1,22.3
23.9,9.91,138,29.4,61.5,23.9,1.79,1286,20.5,13.9,41.4
4.74,2.33,82,50.9,29.7,22.9,3.59,50.9,15.8,20.5,76.4
62.1,34.6,37.9,92.2,14.9,39.6,2.37,820,4.29,27.6,92.2
41.8,21.7,38.5,41,16.1,217,58.3,1894,8.35,75,73.7
11.3,5.52,10.7,30.8,10.7,276,51.4,737,4.41,51.9,49.6
35.2,20.2,36.5,153,18.6,233,16.1,704,7.3,43.7,172
20.7,13.2,30.8,32.2,22.9,392,89,673,10.2,97.3,50
29.7,6.67,24.8,42.2,36.5,16,14.1,325,6.85,25.3,47
32.2,14.6,117,35.5,76.4,24.6,15,661,28.1,22.5,42.9
23.9,11.4,58.8,71.7,23.7,157,29.2,542,5.23,28.9,106
19.3,9.14,44.5,38.2,35.5,26.9,10.9,207,13.6,27.1,57.3
133,72.3,25.9,25.3,6.15,124,21.9,2548,5.05,14.5,22.9
50.5,9.65,105,22.9,45.7,22.5,7.57,237,19.3,28.9,41.4
33.1,12.5,211,18.4,107,132,12.5,882,49.1,13.9,48.3
32.8,21.9,23.3,56.2,14.6,72.3,17.9,737,18.3,65.5,85.8
38.5,28.1,33.4,54.7,32.2,151,30.5,723,16.5,20,73
37.5,22.5,36.8,33.7,17.3,204,27.4,679,3.92,13.9,28.6
28.9,18.4,23.3,79.9,18.3,136,13.8,626,10,16,86.6
35.2,20.7,35.5,88.2,22.3,93.9,43.7,491,10.3,47.8,113
20.9,9.56,3.13,21.1,20.7,19.1,6.49,973,2.71,17.6,28.9
15.8,6.49,27.4,75.7,53.8,125,17.9,334,14.2,13.7,129
36.5,17.8,56.2,29.4,30.2,81.3,16.7,1554,15.1,17.6,26.4
34,19.1,11.9,23.9,75,426,49.1,956,2,44.9,41.4
16.3,6.73,18.4,25.9,19.5,219,38.2,334,5.47,62.1,41
24.4,11.1,73,30,47.4,80.6,9.65,457,18.8,17.3,29.7
27.6,18.1,32.8,33.7,16.7,382,20.7,649,11.3,37.2,38.5
231,98.2,109,26.7,56.7,41.8,11,1794,23.3,18.8,35.9
21.9,11.3,11.5,23.1,17.9,160,23.1,1263,5.47,12,39.2
60.4,35.5,44.9,28.6,34.3,302,94.7,717,11.2,62.1,48.7
42.9,21.7,29.7,43.3,24.1,22.3,1.93,791,9.31,25.3,69.2
47.4,32.8,103,87.4,56.2,20.4,20.7,777,20,26.9,147
31.1,8.9,121,62.1,126,30.8,4.57,583,59.4,23.1,89.8
10.2,9.22,37.5,36.8,26.2,40,12.6,231,8.82,29.4,39.6
17,14.1,43.7,23.1,40,117,13.9,509,9.39,12.6,34.9
24.6,11.3,7.7,94.7,6.55,13.8,5.67,644,8.28,28.9,142
24.8,12.1,46.1,33.4,30.8,181,11.2,483,10.5,14.2,33.7
50.9,33.4,50,35.2,48.7,92.2,20,599,3.75,46.1,25.7
37.2,18.4,22.7,132,17.5,132,16.5,1155,7.3,23.1,217
79.9,40.7,168,24.1,77.7,365,56.2,1230,33.1,57.3,38.2
25.3,14.5,63.2,40,23.9,47,219,939,12.7,27.1,71.7
44.1,24.4,66.1,106,66.7,426,58.8,604,33.7,96.5,155
13,3.46,8.74,25.5,17.5,24.1,7.5,583,10.6,18.4,34.3
30.5,8.82,31.6,84.3,18.9,21.9,5.33,717,4.83,27.1,121
27.4,5.94,40,52.3,21.9,38.5,16.1,241,9.91,20.2,85.8
21.9,13,41,97.3,19.5,25.5,6.04,414,7.77,28.4,157
25.9,17.9,18.8,66.7,36.8,44.9,12.3,679,7.04,19.8,113
9.39,6.55,59.4,29.4,18.9,15.7,15,1310,12.1,15.4,41
29.2,15.4,20.4,97.3,9.06,69.2,16.7,547,5.94,49.1,146
120,30.5,37.2,20.5,19.3,20.9,4.07,1382,10.7,18.8,34.6
