Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
33.1,21.3,4.29,18.6,1.65,5.67,19.1,308,1,3.16,14.6
34.3,23.1,2.81,39.6,5.42,14.9,23.7,328,1.15,4,17.2
26.2,18.1,3.11,15.1,44.1,213,24.6,286,25.7,2.33,15.8
28.4,8.51,4.37,14.7,12.9,1,1.01,1165,1.06,1.12,9.39
18.9,13.9,4.83,6.04,10.5,17.2,16.8,461,6.32,4.37,9.82
18.9,10.1,13.1,10.6,1.01,253,42.9,770,3.19,1,9.65
8.98,7.7,12.5,19.6,44.9,28.6,8.2,533,24.8,19.6,33.7
19.3,4.91,13.8,19.6,7.43,215,3.72,1241,9.82,7.99,18.8
17.9,11.5,18.4,17.2,19.8,200,33.4,407,14.9,7.23,39.2
28.1,18.3,19.6,15.4,23.1,114,32.5,167,14.6,7.17,16.1
20.2,9.82,1.96,12.2,1,157,32.2,1334,3.08,4.7,46.6
11.8,6.1,1.02,24.1,1.63,202,30.5,1275,1,2.5,50.9
40,23.7,30.2,20.2,20.9,195,12.4,557,3.89,7.04,28.6
17.2,13.1,6.21,40,12,29.4,38.5,262,6.21,5,13.1
50.5,32.5,85.8,22.5,6.85,93.9,48.3,1310,1.04,8.82,48.7
21.3,7.77,27.6,19.5,17.5,352,158,692,10.6,36.8,37.2
36.8,26.7,44.1,6.21,41.8,23.7,12.5,340,17.3,14.2,11.3
16.5,8.2,9.73,18.1,1,157,22.7,219,1,14.1,47.8
23.1,10.4,2.25,29.4,21.9,113,12.7,400,10.5,6.32,17.5
50,28.4,4.07,20.5,1.3,93.9,16.4,422,1.43,10.2,38.2
42.2,18.9,74.3,12.4,17.9,122,42.9,965,2.81,5.52,2.55
25.7,14.1,4.37,21.3,7.77,86.6,35.2,717,5.09,12.4,52.8
11.4,7.57,12.6,45.3,23.7,241,28.1,661,13.2,3.72,41.8
40.7,22.7,16.1,24.8,11,704,93.9,365,6.21,11.7,67.3
28.4,19.3,7.84,10.1,1.96,48.7,30,644,3.25,13.1,13.7
28.9,24.6,4.03,39.6,6.15,55.7,30.2,163,1.25,24.4,15
25.9,11.3,8.82,18.3,1,9.56,19.3,461,1.37,7.77,21.9
87.4,58.8,54.2,40,35.2,64.4,4.26,533,6.44,24.4,67.9
49.6,17.3,28.9,13.5,19.8,233,51.9,1715,7.1,13.8,10.2
10.7,2.21,11.3,22.1,19.5,17.9,78.4,799,8.98,12,15.8
43.3,30.8,69.2,106,79.9,14.1,51.9,319,24.8,9.56,85.1
25.5,16.7,10.3,16.5,5.62,40,135,382,4.07,15.4,57.8
12.1,9.65,12,24.4,17.6,17.8,28.4,533,9.47,5.67,9.56
20.5,8.13,52.3,27.4,20.9,1.01,9.22,487,6.1,3.79,27.9
13.2,13.2,2.69,17.2,6.44,202,19.3,692,1.45,2.02,17.8
18.6,10.7,22.7,15,48.3,176,47,453,30,7.17,34.9
21.7,7.23,2,17.6,21.1,340,29.7,644,11.5,1.43,75.7
13.1,2.74,1.51,16,15,806,106,441,8.98,1,38.5
19.5,16.7,5,36.5,11.7,183,48.7,449,7.91,21.7,34.3
61,29.4,2.15,15.7,5.52,229,54.7,414,4.18,10.2,20.4
40.3,32.5,1.01,19.5,15,31.6,51.4,474,5.83,8.2,22.5
75,35.2,70.4,24.1,16.3,29.2,31.1,730,8.9,14.1,73
46.1,32.2,5.67,10.8,1.07,35.2,4.96,343,3.11,4.18,34
38.9,31.6,13,25.5,1,10.9,30,217,1,9.73,50
13.1,3.92,349,25.5,54.2,77,23.5,396,7.91,11.3,48.7
22.7,6.92,4.53,25.5,1,99.1,37.9,1554,1,8.74,61
34.9,19.1,20.4,33.4,74.3,418,124,255,42.9,51.9,64.4
29.4,13.3,163,29.7,27.9,17,28.9,1104,10.5,6.61,65.5
38.5,20,10.3,13.3,2.5,231,16.4,322,3.52,3.92,43.7
40.3,23.1,6.21,23.3,35.2,31.1,15.4,337,18.8,2,33.4
2.5,1,83.5,10.7,12.7,27.4,8.51,14.2,3.92,18.3,13.5
118,37.9,145,4.37,102,153,26.4,947,48.3,6.61,11.7
51.4,35.2,13.9,19.3,15.3,322,294,231,8.9,33.1,12.5
17.6,5.57,17.5,35.2,6.92,153,24.1,547,6.67,8.13,84.3
33.4,9.65,6.92,15.8,1,188,36.2,799,1,9.22,38.2
139,45.7,24.8,9.22,27.4,11.1,55.2,1310,19.6,12.1,28.1
56.7,31.1,4.7,8.74,13.2,14.3,45.7,1065,1.6,13,11.7
29.2,25.5,239,3.46,126,231,41.4,429,30.8,8.58,1
45.3,29.2,10.5,48.7,19.6,692,178,965,9.91,20.9,136
1,2.86,13.9,13.8,5.78,528,150,147,11,16.4,19.5
38.9,22.5,21.1,12.4,15.4,191,101,764,14.1,58.8,42.9
38.5,10.1,85.8,5.57,63.8,8.51,1.11,1762,24.6,4.91,5.28
16.1,9.31,6.61,50.5,1,328,129,588,1,50,79.1
15.7,8.58,10.1,16.8,1.53,61.5,18.6,235,1,15.5,81.3
110,69.8,12.6,26.9,26.2,231,33.7,820,18.3,3.4,32.2
30.2,17.3,17.2,20,15.4,33.7,15.3,483,11.4,7.04,40
38.9,21.7,5.62,20.2,1,172,41.8,505,1,13.3,19.6
41,24.1,3.05,28.1,1,284,79.9,514,3.75,27.6,50.9
42.6,17.5,5.78,27.1,39.2,59.4,61.5,487,18.3,39.2,41.4
112,63.2,5.52,31.9,22.3,37.9,49.6,914,15.3,19.1,58.8
66.1,34,4.45,21.1,26.7,143,44.1,655,22.1,6.49,64.9
18.4,10.8,24.8,32.8,41.4,225,40.7,319,34,24.4,62.1
26.2,7.43,10.6,28.1,23.3,429,193,466,8.82,31.3,32.2
11.4,8.51,9.47,64.4,10.7,163,34.6,610,5.57,4.33,63.8
42.9,24.6,10.2,26.7,19.6,126,7.43,322,1.7,10.4,22.1
37.5,31.9,2.64,38.9,3.85,349,105,302,1,76.4,63.2
21.3,11,15.1,54.7,18.6,25,17.9,557,7.43,15.5,132
27.9,15.8,17.9,24.4,9.91,85.8,12.3,528,6.44,8.28,26.9
32.8,16.1,11.8,17.6,12.6,5.62,6.21,757,15.1,1.73,39.2
34,6.85,1.15,17.6,26.7,204,59.9,1568,8.28,8.2,42.9
49.6,34.3,6.44,100,14.2,9.73,44.9,217,8.9,16.1,101
26.2,14.3,8.2,23.1,3.43,221,34.3,426,9.14,5.88,73
71,44.1,319,23.5,41.4,34.9,50.9,604,7.04,20.7,25.5
42.6,28.6,12.2,16.8,16.8,131,44.1,279,6.49,12.3,33.7
37.9,13.8,62.6,71,23.3,17,47.4,1794,13.7,4.53,205
135,48.7,9.47,28.1,16.3,217,41,1055,10.7,15.1,24.1
21.1,19.6,109,21.3,21.3,655,112,276,2.71,25,34
35.5,19.8,16.1,23.5,33.1,322,58.8,835,21.5,31.9,57.3
15.1,6.38,1.84,22.3,18.6,150,28.6,422,14.6,10.1,55.2
119,38.5,11.3,21.1,15.5,7.17,3.13,1472,13.6,2.33,77
100,70.4,9.65,41.4,15.5,175,44.5,407,9.06,68.5,59.4
30.5,9.65,8.98,27.9,13.2,202,110,679,8.74,43.3,9.39
27.6,14.1,13,33.4,5.99,120,46.1,414,7.1,7.7,16.5
40.3,22.9,10.6,40.7,1.91,142,25.5,255,5.83,8.51,61
18.8,7.99,3.31,34.9,31.1,241,19.8,1124,17.2,1,63.8
20.2,15.8,16.1,12.1,10.9,186,21.1,311,10.7,4.18,45.7
30,20.4,8.98,10,20.7,38.5,48.7,284,20.9,12.1,39.2
46.1,22.7,37.2,85.8,77,13.1,35.9,453,40.3,6.67,120
15.4,16.8,9.22,1.01,11.9,538,38.9,461,5.38,2.21,5.78
6.44,1.86,19.8,10.4,29.2,289,89,161,18.6,46.1,35.2
37.9,20.7,1.04,46.6,10.7,88.2,39.6,281,8.9,43.7,19.6
31.1,11.7,1.45,18.8,12.7,97.3,56.7,533,2.62,8.43,34
13.6,10.3,15.8,28.9,54.7,241,34.9,1009,33.4,6.38,47.4
119,60.4,5.73,28.4,1.7,48.3,43.7,1459,1.1,14.1,44.1
22.1,9.22,11.4,29.4,25.5,1.26,13,1186,15.5,1.54,119
63.8,41.4,14.6,23.9,22.1,79.1,59.9,1114,17.2,16.4,53.8
37.9,25.9,1.75,72.3,17.6,196,50,519,10.4,10.6,164
10.6,5.28,8.51,22.3,9.22,340,63.8,382,10.8,14.5,42.2
17.9,15.3,7.04,66.7,25.5,9.82,23.5,583,16.5,4.07,71
25.3,20.7,3.96,32.8,36.8,151,17.5,186,22.7,11.4,59.9
64.9,29.2,6.26,28.9,48.3,16.5,84.3,3398,1.32,21.3,41.4
28.6,10.3,2.67,19.3,3.05,698,204,757,8.82,50.9,25.9
138,63.8,9.56,44.1,13.8,153,51.9,1155,9.91,44.1,78.4
32.5,19.6,12.9,57.3,35.2,13.6,20,349,20,3.55,47
37.2,8.98,8.13,28.9,4.83,16.5,4.74,710,12.7,15,17.3
16.1,3.34,67.9,19.8,39.2,21.5,40,1999,4.53,5,53.3
21.3,15.5,8.28,15,20.2,75,17.8,777,17.2,9.56,20.5
44.1,32.2,12.4,27.4,13.1,12.5,57.8,233,4.7,3.65,55.2
114,75,10.8,23.1,19.1,227,40.7,2072,7.7,6.1,84.3
61,16.4,3.49,198,18.1,215,27.4,2393,10.6,4.87,135
25.3,11.8,6.15,17.5,11.3,30.8,17.6,599,5.47,16.5,25.3
34.9,17,7.04,23.3,20.7,137,11.2,505,12.2,11.2,42.6
122,76.4,8.74,40.7,23.5,136,10.1,2247,15,17,71
17.2,10.6,18.1,26.4,35.2,244,62.1,505,13,17.2,62.6
54.7,38.5,18.9,25.5,17.8,172,139,1298,3.11,47,51.4
16.7,10.6,1,24.6,18.3,5.88,13.5,533,9.91,2.41,63.8
375,145,2.53,34.9,12.1,84.3,41.8,2350,14.2,30,73.7
40.3,17.8,5.19,19.3,13.9,1.01,1.15,355,11.5,3.4,46.6
22.1,5.42,25.3,14.9,21.1,429,58.8,204,14.2,15.4,45.7
75.7,50,11.9,36.5,25,111,23.1,1000,16.3,6.15,86.6
22.7,11.3,15.4,23.1,11.7,64.9,26.2,322,1,19.8,30.5
74.3,45.7,28.6,9.14,38.2,18.6,33.7,710,17.8,25.7,35.2
94.7,45.7,13.6,88.2,7.5,157,24.4,1715,14.1,11.9,211
88.2,36.2,10.1,21.5,25.7,302,28.6,1963,18.8,5.28,43.7
34.9,12.2,12.4,13.8,32.5,22.3,37.5,644,19.3,7.17,19.5
14.9,6.73,1.6,64.4,2,129,3,466,3.37,10.4,118
231,111,6.1,24.8,18.9,153,35.9,1144,9.82,10.8,64.4
31.9,18.6,10.9,26.7,19.3,66.1,18.9,382,12.4,31.9,43.7
20,6.49,8.66,39.6,20.2,231,107,1065,19.6,54.7,81.3
22.7,13.8,43.3,28.1,27.6,18.3,50.5,257,14.3,6.98,58.8
15.3,5.73,43.3,18.6,68.5,414,168,382,34,29.2,21.7
33.7,18.8,1.81,27.1,38.5,115,27.1,843,1.11,8.35,62.1
184,73.7,12.1,25.5,27.4,81.3,43.7,1554,15.8,14.7,24.6
44.5,10.9,8.82,21.3,5.94,125,196,1322,13.8,69.8,6.1
36.8,20.4,11.8,86.6,14.9,189,35.5,621,10.5,9.14,154
33.7,11.7,13.6,34.9,32.5,22.1,56.7,743,22.1,4.78,73.7
75,36.8,9.47,37.5,27.6,136,59.4,538,25.5,42.9,70.4
36.5,11.8,9.22,26.4,23.3,500,75.7,487,19.5,13.7,77
54.7,37.2,3.68,22.5,14.5,122,12.9,667,9.39,9.39,11.8
38.9,17.6,13.5,22.7,11.9,392,143,679,11.3,19.6,18.1
75.7,33.4,130,25.7,17.9,308,72.3,1486,7.99,12.9,32.5
23.1,17.5,10.2,46.1,22.3,453,66.1,389,20.4,10.3,49.6
13.3,4.41,7.37,23.9,23.9,514,69.8,157,13.1,5.83,41.8
34.3,19.8,10.3,32.5,8.58,289,64.9,337,15.3,11.1,20.5
50.5,27.9,10.4,17.5,25,9.47,27.4,557,19.1,9.73,58.8
48.3,30.2,8.13,26.4,8.51,24.4,19.6,385,8.58,3.08,41.4
9.91,4.74,8.98,16.5,6.61,153,41.4,939,10.2,15.8,34.9
26.9,10.7,5.33,19.1,13.8,578,97.3,835,7.04,24.4,20
32.2,18.6,6.98,27.9,1.86,146,45.7,528,3.62,4.26,179
40,23.3,17.3,30.2,35.2,271,48.7,422,11.4,3.46,51.9
111,69.8,5.52,69.8,6.73,375,130,1018,1,55.2,92.2
15.5,3.65,8.06,15.7,1,13.6,24.8,191,1,4.78,48.3
34,16.4,26.9,27.9,75.7,158,6.67,410,44.9,1.36,85.1
62.6,46.1,12.7,19.8,32.5,237,23.5,1407,20,10.8,36.5
62.6,26.7,6.79,27.6,36.5,19.6,21.1,1334,20.2,20.5,73.7
42.9,19.3,30.8,27.4,63.2,445,49.1,685,36.2,34.3,19.3
21.9,4.49,12.4,21.7,14.7,22.7,7.5,1055,10.8,4.53,28.9
89.8,50,14.1,120,26.9,44.5,14.2,710,22.1,9.56,50.9
30.5,26.2,9.31,28.6,18.9,6.79,25.3,289,11.2,8.28,73
49.1,36.8,52.8,27.1,77.7,13.1,59.4,791,39.6,6.98,62.1
12.1,10,10.7,24.8,25.5,188,53.3,491,23.1,16.8,34.9
34.9,16,14.6,63.8,3.68,138,26.7,505,12,16,66.1
27.6,10.1,17.2,17.3,9.47,90.6,20,410,8.43,12.7,26.9
331,157,13.5,21.1,17.3,264,53.3,1843,11.3,9.06,78.4
34.6,18.6,7.17,31.1,12,284,34.6,557,24.4,6.44,37.5
58.8,30.2,13.2,10.8,8.06,45.3,21.3,470,11.2,4.18,55.2
42.2,16.4,8.82,24.8,36.8,496,55.7,441,21.1,7.57,55.7
30.2,14.5,9.31,18.4,17.2,53.3,11.7,433,9.47,10.3,49.1
15,10.2,15.1,21.1,18.6,14.5,30,343,10.6,6.61,61.5
42.6,26.9,2.76,11.7,5.47,58.3,46.1,400,1.7,20.9,3.37
64.4,45.3,3.85,93.9,11.1,22.1,66.7,906,8.58,7.1,181
47.8,23.3,1,25.7,2.33,143,6.1,991,1,7.99,16
50.5,34.9,11,41.8,16.4,117,23.3,365,1,10,27.1
23.9,11.9,11.5,72.3,7.77,193,52.8,313,6.85,6.04,131
305,100,13.7,31.1,46.6,124,7.37,2148,34.3,17.2,65.5
25.7,5.33,9.73,18.8,5.09,67.3,86.6,1640,1,28.4,6.61
2.97,2.35,14.6,18.6,13.6,292,4.74,1,8.28,1,27.6
109,38.5,10.7,38.9,12.6,181,41.8,717,12.5,9.56,71
42.6,24.8,13,36.8,32.2,28.9,16.7,362,17.2,1.81,98.2
64.4,28.6,13.3,23.5,48.3,12.2,38.9,1046,31.1,6.98,50.5
27.1,10.9,5.78,47.8,14.6,528,183,528,13.1,9.31,112
18.9,6.98,2.17,54.2,25.9,4.53,15.3,764,22.9,1.84,83.5
85.8,47.8,26.2,24.6,43.7,164,34.9,2329,23.7,12.1,33.4
23.1,11.7,9.91,47.8,12.2,9.39,38.9,604,11.5,8.06,106
19.8,12.4,9.31,40,18.4,155,27.6,710,8.9,4.14,25.3
31.9,18.3,7.3,19.5,35.2,164,47.8,372,24.4,10.1,10.8
48.3,4.7,14.7,4.26,29.2,32.2,40,509,24.4,19.5,3.16
