praf,pmek,plcg,PIP2,PIP3,p44_42,pakts473,PKA,PKC,P38,pjnk
176,294,337,644,9.73,18.4,101,5.99,93.1,505,142
126,204,164,308,2.53,99.1,835,16.8,1358,6436,2110
433,710,233,422,8.66,23.9,150,3.11,91.4,487,202
161,248,362,661,6.38,69.8,505,8.98,1358,6916,4740
151,257,93.1,172,14.3,47,392,26.4,69.8,422,418
578,1037,246,777,33.1,49.1,319,10.6,32.8,165,131
305,483,1446,2148,89.8,37.9,235,9.56,248,1433,750
231,410,239,414,9.91,31.3,250,2.81,82,514,141
1747,2267,99.1,184,5.33,48.3,372,6.61,392,2167,890
191,276,262,491,3.02,32.5,175,7.3,35.5,205,723
483,717,1018,1811,70.4,82.8,542,5.38,37.2,215,723
250,426,175,362,1.63,42.2,274,12.9,35.2,191,135
294,461,102,200,3.19,23.3,117,4.57,137,723,385
17.2,44.1,241,403,6.85,13.6,153,6.79,59.9,362,146
365,583,505,914,49.1,18.9,104,11.1,146,799,227
1018,1625,110,209,3.96,53.8,403,2.86,54.2,308,284
626,851,281,453,12.4,81.3,562,15,279,1747,704
175,264,61.5,124,3.75,62.1,426,7.23,191,1084,346
898,1499,599,1084,54.7,73,418,7.57,78.4,474,221
410,764,168,362,9.14,23.9,137,11,193,1018,906
170,311,108,207,2.48,193,1433,40.7,167,914,375
161,286,429,866,4.41,34.9,276,1.24,62.6,246,108
375,667,685,1334,8.51,54.7,340,12.2,225,1346,403
13.1,10.4,359,547,8.35,55.7,313,10.1,89.8,557,154
217,368,313,528,6.04,48.7,331,3.11,337,1811,262
119,165,365,604,10.6,64.9,505,15,48.7,316,209
161,239,679,1124,25,33.4,257,30.8,22.5,158,43.7
39.2,57.8,414,799,2.97,64.4,352,13.8,133,698,117
890,1407,158,246,10.2,43.3,262,9.65,37.9,246,109
82,141,325,583,6.38,44.9,257,8.9,874,4332,806
67.3,100,279,422,8.28,59.9,392,4.61,82.8,426,281
368,583,368,679,5.23,69.2,505,7.7,17.8,99.1,47.4
186,313,379,644,31.9,55.2,382,10.5,108,723,248
1241,1794,1018,1640,44.5,56.2,368,14.5,60.4,343,172
259,410,138,202,1.39,65.5,461,9.82,30.2,157,204
429,673,105,200,3.96,72.3,470,19.8,828,4105,1499
223,325,813,1407,16.8,42.6,248,12.2,66.7,316,106
90.6,135,487,1027,61,108,730,7.1,16.7,89.8,31.6
188,362,355,649,14.9,69.8,478,7.04,53.8,319,104
297,514,322,632,1.17,21.7,107,9.22,30.5,198,114
173,300,906,1582,15.3,18.1,113,2.31,103,583,146
337,542,557,1027,2.33,17.6,105,82.8,227,1230,737
155,223,48.3,82.8,16.3,11.2,59.9,110,67.3,429,119
973,1499,685,1241,9.06,196,1358,71,704,3587,914
334,528,84.3,160,20.5,34.3,239,5.94,70.4,396,167
61,76.4,123,276,13.9,79.9,500,8.51,730,3752,2187
414,770,219,389,16.4,44.5,308,1.72,42.2,297,183
227,396,181,325,9.73,22.7,114,1.67,982,4740,1596
698,1084,667,1114,39.6,47.8,255,8.9,36.2,204,53.3
227,343,170,340,20.5,40.7,213,9.91,244,1322,1219
400,626,153,239,4.53,45.3,316,12.1,102,599,90.6
172,297,1208,1928,17.9,117,723,9.06,30.8,191,82
343,528,188,365,9.39,73,491,7.91,47.4,328,253
89,151,125,286,4.7,29.4,191,4.74,61,346,131
151,262,302,509,2.15,14.7,168,4.96,352,1963,1420
44.1,86.6,125,215,6.79,54.2,389,16.5,15.1,77,956
352,583,137,257,10.2,31.1,189,8.82,82,466,175
2350,3685,1104,1843,9.73,47,269,9.91,115,874,133
137,225,173,289,11,26.2,150,1,221,1186,414
491,813,121,262,1.01,32.2,155,4.74,461,2458,191
136,178,264,449,7.64,27.6,221,9.06,279,1568,737
193,346,231,392,5,104,679,8.9,284,1554,422
271,392,129,246,16,37.2,231,11.8,76.4,519,181
151,289,53.3,67.3,55.7,98.2,655,14.9,26.2,168,14.5
528,866,231,392,19.3,101,717,12.4,244,1611,349
115,215,385,685,66.1,26.9,168,2.57,106,717,355
142,215,181,368,13.3,21.9,160,3.89,340,1911,1322
292,437,557,1104,21.9,38.5,233,17.2,40.3,248,227
70.4,110,1860,2943,135,52.8,355,5.88,167,982,200
127,225,173,325,3.05,47.8,305,27.9,198,1208,644
382,615,269,519,15.1,58.8,433,9.39,1055,5280,1310
70.4,90.6,375,644,12.3,24.8,132,6.85,241,1446,922
505,965,241,449,1,87.4,578,13.2,313,1625,461
1499,2247,217,359,6.73,41.8,178,7.84,225,1358,478
239,379,255,422,1.64,64.9,470,3.05,90.6,583,195
305,437,389,757,14.3,38.2,221,1.36,25.7,117,106
365,567,130,237,10,65.5,340,20.5,1165,5674,1370
319,523,453,914,22.1,34.3,235,6.55,42.9,211,217
205,305,757,1322,13.7,19.1,94.7,70.4,61.5,349,337
2813,4179,313,599,13.8,36.5,241,8.98,99.1,644,227
172,262,533,890,31.3,67.9,453,5.73,375,1981,685
93.1,137,311,638,6.38,83.5,599,8.66,95.6,523,246
202,325,743,1208,17.9,67.9,372,9.91,76.4,491,111
178,284,292,514,1,64.4,407,17,64.9,372,193
151,257,195,311,6.55,14.7,50,44.1,142,931,470
225,382,95.6,172,1.02,30.2,186,9.22,131,764,292
176,284,1094,1827,44.1,2.07,37.5,12.7,38.9,264,80.6
215,328,599,1027,11.5,100,599,23.5,784,3820,1963
470,784,193,337,11.2,31.1,175,11.5,44.5,257,127
939,1370,96.5,188,8.58,26.4,200,5.62,20.9,127,50.9
129,248,225,375,5.38,44.9,382,2.17,45.3,250,229
313,429,195,385,15.1,78.4,523,28.4,34.9,52.3,1197
437,806,123,244,4.57,49.6,286,88.2,973,4614,1472
227,400,1554,2525,120,89,552,31.9,188,1252,346
813,1334,519,965,15,48.7,279,14.3,38.9,244,219
129,229,604,1000,25.9,42.6,225,10.9,578,2969,638
284,457,146,284,11.8,56.7,289,26.7,340,2035,319
244,313,319,542,3.22,74.3,449,13.6,257,1512,866
355,615,1370,1963,34.6,41,235,6.67,124,615,372
368,610,167,292,13.3,52.3,422,6.1,20.2,47,1370
302,441,737,1275,25.3,69.2,313,31.9,35.9,235,191
193,337,66.1,98.2,8.98,73,437,20.4,231,1407,922
284,523,355,692,15.1,72.3,509,18.1,29.4,142,139
93.1,114,379,743,13,145,1018,13.8,104,704,276
135,202,429,692,17,57.3,375,23.7,170,1084,449
1358,2072,114,233,4.87,35.5,161,10.3,108,615,200
167,211,235,414,9.31,125,799,37.5,102,632,325
567,770,71.7,141,6.61,34.3,207,4.96,47,302,178
181,331,483,843,17.8,3.72,28.6,71,982,5003,2864
519,890,276,588,6.98,108,632,5.14,19.6,93.9,160
2890,4451,698,1263,157,55.2,365,13.6,1186,6153,1134
200,300,289,496,5.88,63.8,368,9.06,93.1,562,319
105,239,322,557,29.7,142,1009,54.7,46.1,191,437
279,491,4.66,11.9,15.5,56.2,372,11.9,188,1104,1027
248,407,422,828,9.47,32.5,188,12.1,179,1075,158
621,1027,229,466,5.78,15,121,4.61,17.9,130,66.7
145,241,145,246,1.67,40.7,246,8.43,27.6,150,24.6
104,191,200,365,9.22,79.1,385,8.58,698,3429,1685
615,991,217,368,10.1,40.3,297,7.43,31.1,209,183
692,1065,820,2308,80.6,91.4,509,34.9,42.6,271,69.2
143,221,1582,2548,40.3,89,594,23.3,542,2943,2503
191,284,44.5,71,13.7,66.7,368,10.8,17.8,89,965
145,244,114,207,4.57,44.5,229,13.9,55.2,334,71.7
1075,1625,276,523,10.6,71.7,449,11.1,3.11,40.3,813
372,533,1263,1999,47,27.9,184,1.09,114,730,207
311,519,246,403,11.5,85.1,437,16.4,80.6,478,313
219,352,3.37,15.3,30.5,75.7,509,15.5,52.8,346,302
281,433,271,461,7.5,60.4,340,19.3,137,851,389
250,441,215,418,10.5,25.5,189,1.01,1346,6671,2864
284,433,359,583,9.39,18.4,103,5.05,98.2,610,131
685,1208,153,300,5.38,58.8,359,13.8,47.4,286,368
71.7,137,1094,1670,30.2,26.9,195,9.56,126,866,235
241,418,343,655,10,91.4,519,9.56,51.9,264,483
142,213,184,286,15.8,16.7,146,5.78,1,13.3,12.9
70.4,100,1670,2458,113,93.9,567,39.6,65.5,379,91.4
269,474,101,198,9.31,28.4,183,33.7,583,3023,2207
308,509,557,922,15.1,43.3,178,8.82,48.7,302,87.4
138,246,129,259,19.6,67.3,362,31.3,65.5,379,533
337,533,112,191,4.33,78.4,500,5.88,44.1,264,184
202,269,229,375,18.6,18.8,106,6.26,42.9,250,193
124,217,104,186,38.2,50.5,331,21.1,61.5,403,799
142,231,225,414,1,119,710,7.91,487,2864,692
311,528,170,279,12.4,101,673,20.7,35.5,186,147
1395,2148,75.7,119,1.65,91.4,567,25.9,27.6,172,89
1611,2350,239,375,1,44.1,225,9.65,93.1,626,59.4
209,349,239,437,3.31,50.9,264,18.1,679,3398,1322
150,248,313,610,13.5,55.2,297,95.6,56.2,355,163
433,698,1084,1860,1.53,64.4,382,17.5,118,784,343
704,1346,382,583,6.67,71.7,433,8.66,217,1230,496
359,621,453,991,28.1,53.8,362,5.33,59.9,343,135
165,264,588,1124,6.26,104,610,27.9,46.6,294,107
219,355,96.5,163,12.2,53.8,271,1,75.7,418,346
198,308,160,305,3.75,78.4,710,89,49.1,305,141
21.1,15.3,205,396,9.65,69.2,567,17.8,491,2714,806
308,470,147,229,4.37,34.6,181,2.92,107,599,255
122,209,965,1540,10.3,160,882,55.2,799,4105,2227
638,1114,188,349,10.5,42.9,319,9.47,286,1655,229
223,372,149,257,5.73,27.9,113,2.69,49.6,302,167
519,965,183,328,7.23,11.5,108,4.1,55.2,379,179
215,322,281,552,4.7,41.4,229,16,349,1827,262
173,340,610,1230,6.85,81.3,500,16,109,615,155
389,692,410,717,11.9,41.8,200,14.3,441,2393,764
352,615,183,257,5.42,27.6,198,7.04,557,3051,588
259,362,110,209,7.64,45.7,271,16.5,730,3718,1009
223,362,410,730,11.8,111,661,14.6,302,1640,626
349,594,195,337,12,38.5,219,14.7,79.1,487,165
179,308,150,445,18.3,50.5,205,11.9,67.3,478,106
352,562,147,271,4.41,33.1,267,3.89,403,2267,991
352,599,433,791,5.33,96.5,723,4.18,22.5,127,29.4
325,547,160,250,10.3,16.1,111,8.51,92.2,519,334
3820,5829,125,209,1.01,103,528,10,94.7,578,267
286,496,255,389,1.11,28.1,175,6.73,154,851,202
429,723,248,414,11.7,57.3,292,15,385,2110,1263
158,246,340,655,6.61,12,64.9,153,131,764,237
223,267,385,692,16,126,820,40,106,649,193
154,239,271,500,1.01,69.2,445,10.6,784,3854,1037
429,667,433,791,20.7,34,225,3.02,483,2393,1084
400,552,149,248,2.29,76.4,483,3.05,50,331,97.3
141,215,75.7,151,4.14,80.6,466,22.3,170,1055,372
483,757,259,491,15.3,75.7,474,12.3,69.8,414,250
158,257,89,178,8.2,104,583,11.4,211,1322,1472
355,533,302,567,9.06,62.1,362,9.39,135,799,235
1811,2666,300,514,15.8,39.6,259,7.17,47,325,241
191,262,71.7,121,8.82,103,615,36.2,474,2666,1000
239,379,211,365,8.06,9.73,85.8,1.55,91.4,542,113
281,478,673,1124,55.7,46.1,219,10.3,155,843,241
316,505,392,750,6.49,42.2,196,7.3,195,1027,898
389,685,843,1433,16.5,66.7,528,4.18,158,973,160
297,514,176,334,5.88,142,806,10.2,112,737,257
956,1499,322,523,4.29,62.6,396,30,32.5,205,135
1037,1433,241,433,3.52,202,1219,83.5,54.2,281,92.2
375,644,567,1027,16.7,38.2,223,1.08,1104,5674,965
294,478,106,188,2.33,8.66,82.8,12.5,104,638,248
207,334,225,407,10.7,38.2,262,8.28,34.9,161,77.7
433,632,340,573,16.4,39.2,300,5.28,308,1794,368
311,505,365,692,6.32,29.4,188,8.35,132,730,866
302,491,179,325,5,105,655,11.4,56.7,349,99.1
1762,2525,302,588,14.5,80.6,567,10.5,76.4,487,276
77,110,599,1114,26.2,89,621,6.15,34.9,141,67.3
209,313,160,316,10.1,124,835,15.3,34.3,181,143
198,389,119,248,3.59,45.7,253,12.2,106,583,389
219,385,6208,9058,308,19.3,130,5.05,259,1322,191
297,445,673,1186,10.6,63.8,331,21.7,51.4,292,81.3
158,276,167,292,12.3,71,418,4.14,47.4,264,145
422,698,204,325,1.09,77.7,523,5.67,410,2247,1000
118,163,46.6,102,4.7,112,679,17,422,2329,1298
215,372,1596,2738,59.9,58.8,355,8.35,40,211,54.2
538,843,67.9,108,5.19,16.4,106,1,138,906,355
225,349,457,806,10.5,82,547,3.16,49.1,343,170
202,325,667,1155,11.3,103,514,16.3,509,2642,982
661,982,223,389,22.3,133,777,13.6,33.7,50.9,1094
