praf,pmek,plcg,PIP2,PIP3,p44_42,pakts473,PKA,PKC,P38,pjnk
39.2,8.9,4.26,9.22,1.88,25.9,46.6,223,3.02,31.6,65.5
42.6,20.2,12.1,1.45,40,30.2,51.9,264,5.94,14.1,16.1
5.88,17.9,3.43,2.19,18.1,105,300,1928,6.98,20.5,12.9
34.3,18.8,3.65,1.7,16.5,352,519,1263,18.3,59.4,35.9
24.6,16,6.92,9.39,8.06,15.7,53.8,346,9.31,18.1,12.5
36.2,15.7,1,65.5,31.3,30.5,66.1,874,11.4,26.2,8.66
2.81,10.3,4.37,1,6.26,30.5,105,483,17.2,32.8,6.44
45.3,13.9,6.79,12.2,13.6,26.9,39.6,578,15.7,41,37.2
15.3,25.7,3.37,3.52,11.9,9.65,17.5,382,9.22,25.9,14.2
40.3,17.9,2.81,2.17,1,49.1,77,1568,17.5,32.2,5.23
64.9,54.2,1,21.5,7.7,1,1.55,50.9,12.7,37.9,2.67
30,22.1,4.87,1.12,9.22,3.92,46.6,173,17.2,25,10.6
30.5,22.5,13.2,1.01,21.9,22.3,36.8,223,12,26.2,25
25,34,2.29,1.01,15.1,7.3,16.1,276,13.6,38.5,60.4
28.4,19.8,10.2,4.57,30.8,6.38,18.1,973,21.9,47.8,18.9
65.5,56.7,1,2.41,2.05,126,204,2207,12.1,20.4,23.9
35.2,18.6,3.22,2.81,26.4,25.5,172,200,27.1,40.3,15.1
34.3,20.5,8.51,1,30.2,40.3,130,890,22.1,76.4,51.4
61,38.9,3.46,5.19,26.2,12,24.6,487,14.7,21.3,13.8
48.7,20.4,1.19,2.5,11.8,12.6,24.4,316,24.4,37.5,21.1
35.5,13.8,8.28,7.99,17.2,45.3,77,1526,42.2,110,34.9
31.9,44.1,5.42,1.31,6.32,13.8,13.3,349,12.7,23.3,9.39
42.6,25.5,7.3,1,21.5,33.7,49.6,396,59.4,85.1,19.6
78.4,21.9,9.31,4.66,44.9,10.7,26.4,866,17.2,21.9,7.84
44.1,24.1,5.38,132,16.5,18.1,37.5,1219,3.05,17.6,63.8
47.4,19.3,1,1.68,10.2,10.2,38.2,661,21.1,45.7,21.7
105,41.4,2.69,3.82,9.56,28.6,59.9,362,17,25.5,12
56.2,38.9,12,9.39,11.7,66.1,125,638,13.2,50,6.67
72.3,24.4,5.28,179,35.2,22.1,42.6,196,26.9,38.9,20.7
45.7,13.1,1.91,6.79,6.32,29.7,49.1,382,16.7,39.2,22.9
56.7,25.5,1.84,1,25.7,6.98,31.9,851,8.51,20.5,160
79.1,48.7,3.75,4.14,24.1,27.1,44.1,221,31.9,38.5,21.1
15.4,23.9,1.86,6.26,32.8,41.4,68.5,331,5.99,5.05,44.5
21.7,10.6,7.57,2.46,16.1,29.4,64.4,1155,30.2,77,28.1
36.8,22.5,9.65,1.43,3.13,15.1,58.3,75.7,13.2,26.2,12.4
52.8,17.5,5.94,179,14.6,11.5,22.1,457,13.9,39.2,18.4
30.8,11.1,2.86,1.06,18.6,24.6,44.1,500,19.1,37.9,21.3
21.1,20.7,22.9,4.66,13.1,10.3,22.1,334,20.9,32.2,15.7
26.4,24.1,9.39,3.31,24.8,14.5,41.8,906,13.1,30.8,10.3
36.8,25.9,10.2,1.96,35.9,46.6,111,947,23.1,50,35.5
20.2,15.8,9.06,4.45,9.91,19.5,110,1358,16.5,35.9,17.8
48.7,42.6,3.52,6.73,7.37,11.8,23.7,175,49.6,85.1,11.3
43.7,8.82,8.82,2.74,6.85,20.5,27.6,281,13,24.1,18.1
37.2,24.4,2.69,3,19.5,21.7,41,349,8.35,24.4,9.82
69.2,26.9,15.4,3.22,20.2,25,83.5,644,15.8,26.4,8.9
40,25.9,5.42,4.18,8.13,13,29.4,250,2.23,21.3,37.9
30.5,15.4,2.64,147,47.8,61,131,1778,21.9,44.1,18.9
40.7,14.5,2.37,1,26.4,23.3,54.7,813,15.5,21.9,16.5
56.7,31.6,9.31,2.89,25.7,49.1,104,698,3.4,4.45,1
86.6,125,8.28,10.6,47,73.7,170,3134,21.1,63.2,25.7
27.6,17.8,5.94,6.21,32.8,57.8,110,1084,6.15,27.4,93.1
63.8,23.7,20.9,17.5,12.1,34,52.3,355,26.7,51.4,33.4
31.9,20.5,1.79,165,72.3,17.2,33.1,723,15.5,37.2,79.1
48.3,18.3,2.31,2.09,18.3,16,24.8,392,24.8,57.3,23.5
43.3,15.1,1,1.32,6.1,44.9,78.4,1685,10,34.6,14.2
23.9,18.1,6.1,7.23,17.2,10,41.8,5.67,19.6,28.1,9.14
26.7,19.5,1,1.12,11.2,41.4,71.7,791,19.8,36.5,26.2
59.4,17.6,3.65,4.78,26.9,49.6,113,882,12.4,30.5,8.58
8.13,24.4,12.4,1.03,21.7,28.6,193,62.1,11.2,40,108
56.7,26.9,1.01,2.69,15.7,12.2,28.6,259,15.3,35.2,4.7
73,30.2,6.49,3.46,1,13.3,78.4,757,6.73,38.5,27.4
40.7,16.7,1.45,5.19,4.07,17.3,63.8,2054,3.13,18.6,65.5
46.6,15,6.04,4.03,3.25,2.5,2.39,36.2,18.1,43.3,8.82
47.8,24.4,1.32,1,3.65,12.9,24.1,474,15.4,24.1,10.5
20,21.5,3.37,1,21.7,16.1,38.2,615,20,39.2,50.9
24.4,17.3,1.06,40.7,13.8,14.5,26.2,286,14.9,29.7,12.2
19.8,16.4,3.25,6.98,16,46.1,95.6,487,2.71,92.2,5.52
64.9,32.8,4.91,1.09,1.58,14.2,23.5,429,12.1,43.3,7.3
53.8,38.5,1.45,255,52.3,28.9,61.5,422,10.9,26.9,5.83
75.7,31.1,5.23,1.01,18.1,10.8,32.2,483,2.74,12,54.7
87.4,44.1,1,1,13.8,13.1,32.8,235,38.2,75.7,34.3
41.4,21.9,20.7,2.55,18.8,10,26.7,414,3.46,19.1,30
44.5,25.9,13.1,6.67,17.6,86.6,165,1928,14.5,32.5,19.6
46.1,18.8,2.57,1.98,14.5,44.5,109,567,24.4,34,14.2
54.7,26.9,4.33,2.71,11.1,20.5,85.1,1322,17,35.9,15.1
119,39.2,1,6.26,21.7,55.7,149,1346,12.5,36.8,5.73
11.7,30.8,2.84,6.32,10.6,66.1,86.6,922,1.51,21.7,80.6
75.7,51.9,7.23,167,19.1,30,93.1,1860,1.78,30.5,39.6
57.3,22.5,2.11,2.55,7.64,26.9,48.3,313,21.3,52.8,20.4
16.4,21.5,5.52,3.85,22.7,12.2,69.8,1582,2.48,17.6,96.5
57.3,29.4,5.09,4.22,17.6,8.74,34.3,649,9.82,26.9,16.5
56.7,34,1,7.64,10.6,29.2,88.2,1611,5.57,34,106
89,58.8,4.96,1,11.2,14.3,28.1,319,2.39,19.1,70.4
47.4,25.7,6.49,1.95,1,60.4,176,1252,37.5,91.4,39.6
51.9,13.1,9.14,1.79,4.91,30.2,74.3,698,22.5,76.4,39.2
27.4,10.9,2.86,4.1,5.88,68.5,129,1459,20.2,35.9,8.9
83.5,33.7,1.42,1.01,12.5,74.3,119,466,11.9,31.9,6.1
13.8,12.4,13.9,7.3,12.9,5.42,16.1,588,15.3,42.2,10.7
59.9,20.5,6.92,1,18.1,15,28.6,313,23.5,66.1,18.1
56.2,20.9,8.43,2.86,1.93,25,54.7,1155,9.56,46.6,73.7
108,27.9,10.9,7.57,7.7,42.2,120,922,25.3,50.9,10.9
29.7,23.9,12.2,77,31.6,82.8,164,1827,20.5,30.8,17.3
62.1,17.3,5,1.01,2.07,17.8,36.5,271,13,27.9,7.1
47,20.4,6.98,3.85,12.4,8.98,20.2,474,44.5,129,44.1
88.2,84.3,4.87,1.01,6.79,28.9,40,956,31.1,66.1,26.9
38.2,20.4,15.1,4.91,19.8,45.7,138,2227,16.7,43.7,73
38.2,22.5,2.62,1,16.5,32.8,82.8,1165,3.49,20.9,44.5
61,31.1,1.89,1,28.9,50.9,82,538,7.5,18.8,10.4
20.9,15.8,1.04,1.3,17.9,16.4,24.4,262,25.5,53.8,28.6
52.8,26.9,17,1.15,35.9,8.74,31.1,717,15.7,28.1,21.9
64.4,19.8,6.61,1.42,10.7,28.4,40,334,3.02,21.5,62.1
48.7,18.3,6.79,1.01,13.5,11.5,22.9,359,21.3,42.6,29.7
58.3,15.5,5.94,1.25,2.97,25,52.3,365,2.09,24.8,74.3
62.6,16.3,5.28,2.64,1,23.7,44.9,173,20.7,31.9,21.1
62.1,24.8,2.86,1.01,12.1,74.3,145,730,16.1,35.9,5.83
29.4,38.9,3.92,1.19,4.22,5.78,30,914,37.5,66.7,19.5
139,50,1,2.59,11.4,18.4,44.1,292,17.5,47.4,118
173,164,7.57,1,3.52,14.3,26.7,491,1.18,704,77
21.7,20,7.04,1,1.88,27.6,52.3,346,14.7,35.5,17.3
71.7,30.5,1,2.74,11.9,53.3,151,1176,25.5,45.7,17.8
70.4,33.4,4.57,2.74,7.23,11.8,14.1,359,46.6,84.3,36.2
19.3,32.5,10.4,3.28,14.9,14.6,19.1,491,17.2,23.5,10.8
