Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
41.8,1,77.7,3685,23.7,40,11.2,105,6.38,16.4,2436
38.2,3.82,15.8,160,44.9,32.2,13.6,119,7.23,11.8,114
64.9,5.19,12.4,947,20,18.6,36.5,138,2.05,7.7,557
44.1,2.46,7.37,914,17.9,59.4,18.9,107,1.22,11.9,638
30.5,4.7,15.8,461,49.6,73.7,24.6,2017,25.9,4.91,316
50.9,5.23,13,279,28.1,281,50.9,215,1.72,4.61,181
68.5,1.12,5.83,328,27.4,160,59.9,95.6,7.43,26.9,213
105,1.6,9.91,189,32.2,457,32.2,403,1.7,2.5,139
23.1,1.25,22.3,274,76.4,50,30.8,48.3,24.1,8.58,173
38.2,1.83,9.65,500,23.7,23.5,9.06,36.8,1,15.5,322
61,1,143,2738,26.7,19.6,18.4,88.2,8.51,12,1999
119,29.4,7.84,588,31.6,82,13.6,4105,1,11.1,389
45.7,1.54,4.1,181,23.7,9.65,2.07,96.5,6.1,19.5,122
82.8,3.75,11.9,723,33.1,55.2,19.1,137,1,10.7,509
120,3.92,17,334,55.2,35.5,14.1,269,9.06,21.7,227
93.1,3.4,271,112,38.9,70.4,24.6,346,9.22,11.5,99.1
141,12.3,3.79,231,34.3,110,42.6,3820,1,11.2,175
23.3,1,6.21,2129,10.8,5.47,20,78.4,1,11,1472
23.3,1.32,22.3,355,47.8,32.5,23.3,103,14.9,20.2,204
84.3,3.13,15.5,1685,29.4,16.5,3.02,349,1,12.6,1165
202,31.3,12.6,269,29.7,21.9,17.9,4332,4.7,14.3,161
63.8,2.17,20.5,410,52.3,235,75,126,16.8,14.2,274
69.8,11.9,15.1,389,45.7,82.8,33.4,1827,1.15,10.2,248
110,2.41,15.3,588,21.3,379,64.4,331,1.81,16.5,372
32.2,1,22.7,1568,53.3,18.4,5.83,95.6,15,13.5,1046
59.4,7.7,13.9,375,44.9,33.4,10.1,355,11.9,17.8,286
170,1,9.06,274,12.6,18.6,23.7,379,1,1.86,157
37.5,12,12.3,723,47.4,15.1,12.6,737,10.6,12.3,461
77,6.32,1.67,414,27.9,31.1,21.7,271,4.07,22.5,281
59.4,6.49,28.9,1065,58.8,36.2,20.7,1894,20.9,16.4,621
11,1.41,5.57,426,37.9,23.9,2.27,10.8,2.37,17.5,269
19.3,1,5.78,445,26.7,20,8.58,106,1,10.3,305
133,1.09,5.94,142,37.9,60.4,19.5,362,3.89,11,106
100,27.9,9.65,49.6,35.2,63.8,19.5,1472,1.64,13.8,49.6
42.2,2.86,75,136,129,25.3,11.4,223,28.6,13.1,95.6
13.6,1,8.06,470,18.8,168,31.1,87.4,1,9.31,359
121,6.92,50.5,271,111,135,48.3,385,44.1,25.9,181
115,3.92,8.13,322,59.4,30.2,30.8,487,5.47,11.4,196
158,37.9,9.65,72.3,37.2,21.7,5.05,3051,3.49,10.6,59.4
