Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
16.7,4.57,28.6,18.6,26.2,16.3,3.16,474,6.85,18.3,14.6
18.6,5.05,9.91,39.6,75,13.5,6.49,567,15.5,15.1,17.2
19.6,7.64,12,15.1,21.1,191,3.72,770,12.2,3.75,15.8
21.5,16.4,2,14.7,37.5,75,16.1,253,12.9,8.28,9.39
27.4,26.9,5.57,6.04,22.5,179,20.7,385,10.1,2.21,9.82
13,5.67,16.4,10.6,8.66,55.2,22.1,253,11.7,38.5,9.65
18.8,6.85,5.28,19.6,24.6,28.4,20.9,1134,17.8,8.9,33.7
31.3,19.3,5.83,19.6,17.8,205,17.3,305,7.17,68.5,18.8
27.4,19.8,19.1,17.2,19.8,205,29.2,346,9.73,81.3,39.2
11.9,7.3,21.9,15.4,64.4,16.4,9.65,519,35.5,11.7,16.1
11.2,4.83,6.73,12.2,16.3,30.2,63.8,594,6.92,11.4,46.6
44.1,35.2,11.9,24.1,26.4,491,79.9,547,13.5,3.05,50.9
17.2,14.1,73.7,20.2,19.6,12.1,3.13,583,4.29,9.31,28.6
45.3,6.32,10,40,44.1,11.9,4.61,1065,24.1,17.8,13.1
21.5,13.1,32.5,22.5,78.4,514,154,835,27.9,26.9,48.7
31.1,17.5,14.3,19.5,46.6,16.8,1.68,538,20.7,16.8,37.2
14.3,9.31,14.2,6.21,29.2,13.3,1.23,457,15.5,17,11.3
19.8,14.7,26.4,18.1,47.8,47.8,6.55,85.8,18.6,5.83,47.8
35.5,29.2,21.5,29.4,25.5,14.6,4.03,331,12.1,10.4,17.5
27.6,11.3,17.8,20.5,47.4,17.9,23.9,947,24.1,6.61,38.2
15.8,3.05,10.7,12.4,36.8,200,16.7,655,20.2,1.83,2.55
19.3,7.23,1,21.3,31.9,21.1,1.21,547,14.6,1,52.8
43.3,23.9,13.8,45.3,26.2,157,23.9,355,14.6,4.26,41.8
45.3,13.8,26.9,24.8,18.6,16.5,29.7,2595,5.83,6.98,67.3
