praf,pmek,plcg,pip2,pip3,p44_42,pakts473,PKA,PKC,P38,pjnk
23.5,13.6,40.7,372,37.9,4.96,14.1,851,9.14,30,85.8
16.5,14.7,14.9,79.9,37.9,2.76,6.98,213,1.81,8.43,51.4
17.8,18.9,15.3,396,48.7,25,52.3,750,16.3,49.1,75.7
5.88,8.51,28.9,26.2,7.3,73,112,1219,1,20.7,47.4
17.3,18.9,14.6,19.1,5.14,16.5,32.2,710,1,1,30.2
47.4,40,20.9,21.7,15.8,81.3,121,1877,7.3,28.1,93.1
10.6,12.7,11,124,22.5,11.5,37.5,770,6.73,27.1,60.4
10.3,15,37.2,34.9,14.6,89,133,407,15.1,46.1,85.1
13.7,16.5,4.83,18.4,1.22,21.9,27.4,610,2.05,19.1,75.7
25.5,17.9,22.3,17.2,17.5,13.7,23.1,604,31.3,45.7,72.3
13.2,15.7,60.4,389,59.9,26.2,41.4,359,1,2.41,37.9
63.8,50.9,32.5,23.9,4.03,151,248,3619,15,33.4,41.8
17,16.8,22.5,22.3,12.5,12,22.5,547,17.6,24.6,36.5
49.6,71,23.9,13,10,113,204,3308,15.3,67.9,340
20.4,18.6,54.2,322,54.7,51.4,75.7,235,20.2,37.9,45.7
14.5,13,26.4,18.1,9.31,41,75.7,638,1,2.21,42.6
36.8,22.9,5.73,1,15.4,36.2,62.1,1794,17.6,33.7,41.8
14.9,34.3,20.7,18.8,8.82,106,163,2642,31.9,95.6,113
102,81.3,6.1,26.4,23.9,123,217,1843,3.85,5.78,44.9
16.4,25.7,59.9,71.7,16.5,183,257,1811,4.41,31.6,81.3
22.9,15,3.72,1.01,9.73,89,126,368,1.95,5.88,21.3
80.6,86.6,64.9,294,27.1,47,61,491,23.1,38.2,52.8
9.31,6.44,22.7,16.7,18.8,123,202,3220,1.14,3.28,46.1
14.2,10,86.6,466,93.9,37.9,54.2,445,42.6,90.6,400
19.3,13.8,21.3,30.8,15.5,4.7,42.9,538,14.1,31.9,48.3
