Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
17,6.61,40,13.2,44.9,18.3,58.8,414,17,8.82,26.4
32.5,18.6,61.5,16.5,16.5,16.8,8.13,352,3.37,12.3,35.9
32.5,14.9,19.5,44.1,31.9,10.2,13,403,11.4,14.6,59.4
11.8,5.83,23.1,82.8,28.6,13.5,1.29,528,13.7,23.1,73
46.1,21.1,81.3,19.8,25.7,9.73,24.8,305,4.66,5.19,33.7
25.7,11.9,57.8,3.75,49.1,22.1,10.9,610,13.7,17.6,18.8
17.9,8.66,18.1,36.5,35.9,132,16.3,835,15,10.4,44.9
45.3,20.2,20,15,24.4,30.5,17.5,466,6.44,14.6,47.4
23.5,11.5,25.3,61.5,61,21.1,41.8,445,29.2,10.6,104
135,13.2,101,21.5,26.7,205,43.7,213,14.6,1.88,21.1
34.6,21.9,24.1,16.4,44.9,17,11.2,449,20.4,14.5,16.4
36.5,20.9,35.5,22.9,71,15.5,26.2,389,31.9,7.5,74.3
12.2,6.67,118,39.6,44.1,64.9,11.7,528,17.9,8.9,85.1
17.9,17.9,151,29.2,41.4,9.06,15.5,400,14.6,5,36.8
7.23,8.82,7.91,24.1,19.1,16,46.6,500,9.73,10.2,29.2
27.9,18.1,1,13.8,77,13.2,11.3,392,56.2,11.9,50
37.9,9.06,1.42,26.7,65.5,10.9,14.7,89,40,21.3,26.2
31.3,27.6,7.64,38.2,30.8,92.2,22.7,223,16.5,10.5,39.6
36.2,19.1,17.2,19.8,37.2,133,15.7,319,24.1,7.5,30.5
62.1,31.1,22.1,16.5,27.4,141,25.7,710,14.2,13.3,49.1
35.9,12.1,20.9,8.9,28.4,85.8,17.9,843,12,11.3,38.5
23.9,10.2,12.7,17.8,28.4,10.6,4.91,276,13.8,14.5,31.6
50,30.2,4.61,27.9,84.3,137,23.9,965,1,1,41
27.9,9.91,48.3,54.2,93.9,24.4,12.9,449,35.9,15.4,70.4
98.2,59.4,17.8,42.2,46.1,20.9,10.5,1981,35.9,17.6,70.4
38.5,18.8,7.04,1,29.2,181,43.7,644,13.6,8.28,21.5
32.2,17.8,6.98,23.1,23.3,22.1,10.6,466,10.5,18.6,39.2
25,10.4,59.4,20.4,48.3,18.4,6.26,500,22.7,19.8,69.8
51.4,34.3,196,22.3,38.9,50,23.1,308,13.2,17.2,34.9
14.7,5.14,23.1,24.8,41.8,62.6,38.2,673,28.1,13,40.7
49.1,23.9,20.9,15.7,38.5,21.3,7.5,1382,19.5,13.2,45.7
12.5,8.58,28.1,29.2,67.9,17.6,13.1,621,34,14.5,43.7
35.5,10.5,15.3,80.6,40.3,209,19.5,422,26.9,4.41,79.9
22.9,9.22,17.9,17.3,59.9,18.1,12.7,552,38.5,21.7,56.7
33.7,19.1,20.7,19.5,31.9,41.4,2.21,325,22.9,2.57,58.8
37.9,20.2,20.9,12.7,38.5,12.4,30.8,403,22.5,10.9,53.8
48.7,36.2,12.6,23.1,28.9,79.1,24.4,429,14.7,18.9,58.3
12.4,4.96,83.5,28.1,31.3,115,16.1,1241,2.46,7.1,160
27.6,4.29,139,9.39,80.6,53.8,27.6,599,38.2,12.2,45.3
59.9,38.5,13.5,28.4,23.7,9.39,20.7,898,12.7,8.35,54.7
14.2,13.6,43.3,26.9,8.98,47.8,22.9,396,4.74,25.3,85.1
42.6,27.1,17.8,43.7,37.9,343,60.4,319,14.9,9.47,109
18.9,2.69,221,15.3,40.3,120,23.7,10.2,4.96,1,25.7
24.8,14.7,7.7,28.1,20,28.9,13.8,382,15.3,27.6,50.5
13.3,2.71,105,17.8,20,62.1,23.1,562,4.45,17.8,69.2
24.8,4.49,22.5,19.3,48.7,20.9,39.2,474,23.5,8.51,62.6
38.5,17.8,40,43.7,66.7,19.3,15.8,1433,31.9,11.4,67.9
36.2,21.9,17,57.8,46.1,15.4,24.6,233,21.3,4.91,75
36.2,6.26,108,42.2,32.8,122,48.3,1027,12.5,7.57,50.9
24.1,8.82,6.15,20.4,34.9,22.5,20,466,19.1,24.1,79.9
75.7,39.2,11.7,21.7,22.7,22.1,3.82,1310,8.74,21.9,62.6
15.4,9.06,173,25.3,26.9,76.4,17.2,673,4.66,6.38,50.9
35.5,25.3,10.1,30.5,43.7,51.4,42.2,466,20.4,13.6,75
12.4,3.62,10.5,25.3,32.5,20.7,27.9,29.7,17.2,11.7,59.4
13.1,6.38,17.6,37.9,38.2,292,49.6,573,20.9,1,181
27.1,4.07,32.5,33.1,121,67.3,1.91,973,85.8,12.7,69.8
13.5,5.83,71.7,19.1,80.6,42.2,6.61,547,44.9,11.1,57.3
37.5,23.5,95.6,30.5,16.7,18.6,6.92,418,6.55,13.9,82.8
45.7,21.9,11.9,24.6,23.3,35.5,11.9,322,6.79,15.7,35.5
20.7,2.84,17.5,27.9,33.1,42.6,17.3,188,20.7,17.9,80.6
21.5,13.1,9.39,45.7,20,154,58.3,337,5.47,10.8,113
355,181,20.7,10.1,42.2,89,29.4,1731,24.1,10.3,8.9
22.5,12.9,9.47,14.1,47.4,20.2,32.2,583,37.5,7.1,35.2
16.5,9.14,80.6,12.3,59.9,62.6,26.7,547,25.7,12.7,24.1
24.1,16.3,12.4,33.1,35.5,28.6,13.7,319,22.5,5.78,164
34.6,25.9,78.4,27.1,27.1,57.3,19.5,382,3.05,15.5,57.8
18.9,10.9,80.6,27.4,42.9,97.3,71,429,4.45,40,90.6
10.8,4.22,3.43,12.7,7.37,22.7,23.7,578,1.86,4.37,38.5
25.9,12.7,64.9,36.8,14.9,40.3,21.7,667,2.5,12.7,51.4
38.5,20.4,15.4,15.1,24.4,20.5,8.43,437,11.7,18.6,26.9
19.8,14.1,75.7,21.1,39.6,21.1,57.8,474,25.9,12.7,56.2
31.6,18.8,6.67,35.5,22.3,45.7,47.8,418,10,18.4,70.4
33.7,18.4,10.4,35.2,19.8,16.5,24.1,362,16.3,12.2,58.8
18.6,8.51,27.6,35.5,31.1,50,19.8,151,12,17.3,69.2
51.4,32.8,16.4,47,47.8,276,77,799,19.6,25.5,69.8
23.1,6.85,4.66,59.9,48.3,19.6,15.1,1065,1.67,20,105
37.9,14.3,91.4,51.9,25,30.2,10.6,692,6.49,13.6,62.1
27.6,19.8,7.64,33.4,31.1,31.6,1,505,18.6,1,75
22.9,9.14,6.85,15.1,22.7,101,35.9,400,11.7,7.99,20.4
35.2,17.9,20,19.6,43.3,33.1,82,956,22.5,17.5,47.8
37.9,11.1,16.8,53.3,29.4,77.7,12.9,1407,18.8,11.8,59.9
38.2,21.5,12,27.1,31.3,109,21.9,207,11,12.4,46.6
200,58.8,15.7,21.3,39.2,58.8,10.8,3051,15.3,49.1,51.9
15,6.73,8.2,23.9,68.5,12.7,4.61,562,1,15.1,31.9
46.1,28.1,71,27.4,6.98,138,30.8,906,2.69,67.3,93.9
35.2,19.6,7.91,23.3,20,12.6,9.06,806,2.37,15.3,64.9
26.2,8.58,9.91,123,12,34.6,63.8,470,1,12,153
64.9,44.9,30.5,12.4,36.2,235,34.9,1843,23.5,7.04,16.7
31.3,12.2,49.1,25.5,16.4,12,43.3,655,7.7,13.1,71.7
22.7,13,16.3,23.7,33.4,4.26,12.9,470,7.77,2.89,35.5
19.5,3.46,6.1,61.5,2.69,34.6,12.3,239,2.53,13,83.5
16,16.8,54.2,8.82,48.7,154,56.7,433,9.56,12.9,31.9
150,89,49.1,20.2,15.4,125,27.4,799,2.71,7.7,29.4
38.2,29.2,17.2,325,36.5,25.7,10.7,313,10.8,17.6,302
29.7,19.3,89,16.5,15.3,505,67.3,483,2.92,11.5,40.3
47,6.38,7.7,15.4,24.6,23.1,71,557,20,9.73,29.2
35.9,16.8,95.6,25.7,39.2,24.4,37.2,375,5.47,12.7,46.1
23.9,7.23,93.1,21.5,25,155,67.9,820,3.59,27.1,52.3
25.9,6.1,15.3,36.5,22.7,10.6,13.9,1009,10.2,18.6,48.7
10.9,6.61,5.42,82,21.9,325,79.1,723,12.1,120,85.8
28.4,8.28,13.7,25.9,36.8,64.4,45.3,583,15.7,21.5,75.7
17.2,5.47,15.5,21.9,21.5,18.4,30.2,982,16.3,14.9,58.3
27.9,22.5,48.7,34.9,18.4,82.8,38.2,379,6.55,13.3,58.8
16.7,10.8,7.77,27.6,29.7,67.9,30.5,403,17.8,28.4,112
32.2,22.9,17.6,29.2,30.8,10.9,32.2,379,14.3,2.39,66.7
38.2,22.7,10.5,23.9,20,137,20.4,313,16.1,6.61,39.6
34.6,15.8,13.9,15.5,28.6,8.35,40,281,21.3,2.55,36.5
36.5,24.1,16.3,25.7,67.9,59.4,138,331,38.5,32.2,38.2
61,13.3,64.4,21.3,17.3,7.91,32.5,858,2.81,9.39,41.8
34.6,17,72.3,18.1,13.5,113,25.5,604,4.26,24.8,62.1
89,28.4,12.9,79.1,29.2,111,20.2,1472,20.4,9.65,167
17.6,7.5,9.73,28.6,4.45,51.9,64.9,271,2.21,25.9,55.7
17.8,8.9,42.2,71.7,25,93.1,36.5,906,9.06,12.9,84.3
64.9,44.5,17.5,25.3,49.6,27.4,44.5,1197,20.9,19.1,60.4
12.9,5.83,14.9,21.9,21.5,38.5,81.3,274,16,38.2,57.3
14.3,5.47,7.43,32.8,27.4,60.4,49.6,87.4,11.1,30,76.4
32.2,19.5,26.9,119,75,71,13.9,500,50.9,15.5,96.5
21.3,10.6,34.9,17.8,20.4,115,61,965,5,32.2,38.5
17.8,15.7,14.9,46.6,13.8,19.6,75.7,519,12,7.7,66.1
32.2,10.6,12,79.1,31.1,15,35.9,382,14.9,7.37,112
11.4,3.49,93.9,22.3,13.9,73,24.1,340,5.62,12.2,47
33.1,15.8,25,54.7,40.7,8.58,24.8,757,24.6,19.6,87.4
57.3,18.8,24.4,19.1,8.35,19.1,11.3,743,8.66,22.9,57.8
29.4,13.6,7.99,31.1,17.6,22.3,34.3,385,7.23,18.9,92.2
24.8,20.4,122,28.9,20.2,11.4,23.1,319,4.14,9.56,93.1
28.1,18.8,97.3,36.8,25.5,38.9,29.2,276,1.83,16,107
5.88,5.28,24.4,56.7,5.57,27.6,4.03,491,3.52,16.1,80.6
26.2,14.2,33.7,25.3,16.1,158,12.3,514,6.55,1,44.9
54.7,18.6,88.2,18.8,19.8,13.2,9.73,286,1.88,9.65,27.4
25.7,14.1,48.3,25.7,28.4,35.2,25.7,284,20.4,24.6,31.6
42.9,30.5,20.4,33.4,68.5,25.5,5.73,305,34.9,8.13,52.3
27.4,14.1,53.8,27.4,20.2,18.3,23.1,649,3.82,8.82,71.7
16,4.53,77,26.9,32.5,87.4,12.5,379,3.68,15.5,44.5
15.1,6.26,6.55,27.4,24.6,22.7,2,457,13.6,16.4,74.3
30.2,22.3,23.7,20.2,40,17.8,39.2,487,30.5,13.9,44.1
36.8,13.1,65.5,22.9,24.4,17.8,21.9,710,12.6,17.3,42.9
20.4,8.06,63.2,26.4,16,3.96,41.4,509,3.68,1.19,79.1
97.3,52.8,8.28,30,94.7,47,7.37,2288,69.8,44.9,89
38.2,15.1,13.1,27.4,32.8,80.6,41,453,13.6,14.5,63.2
21.3,6.98,23.1,20.7,44.5,70.4,42.2,313,24.8,25.3,27.9
28.1,20.7,9.73,22.9,25.3,17.5,9.73,255,13,19.3,69.8
23.5,13,35.9,15.7,53.8,37.9,49.1,509,22.1,22.7,28.9
25,20.2,87.4,30.8,26.9,82,49.1,343,3.96,7.17,102
36.5,22.5,77.7,25.3,14.5,61.5,26.2,239,2.74,14.9,59.4
37.5,25,24.1,31.3,60.4,22.5,8.74,426,29.7,18.8,89.8
35.5,21.7,95.6,33.1,14.2,56.2,16.1,305,4.26,19.5,200
20.7,4.49,57.3,18.1,125,149,62.1,698,44.1,14.9,62.1
19.5,15,11.8,23.7,31.6,276,41.4,334,16.7,17.9,46.1
69.2,29.2,30,85.1,46.6,7.99,17.8,1208,26.4,8.43,149
61.5,40.3,12,15.5,25.7,153,16,1582,12.2,7.91,8.9
23.1,12.3,15.1,40,30.8,24.4,73,487,17.9,9.82,109
34.9,8.13,1.01,42.9,33.4,23.9,10.5,2571,1,31.1,71.7
17.2,5.94,17.8,24.4,38.5,47.8,13.9,649,18.6,16.3,68.5
82.8,39.2,35.9,44.1,51.4,89.8,28.1,632,20.4,4.45,79.9
86.6,44.1,16.7,34.9,41.8,325,23.5,799,23.9,1,85.1
25.3,22.9,2.81,163,6.61,311,59.9,470,2.15,3.85,196
42.6,29.4,19.3,17.3,37.5,26.4,10.9,322,23.3,25.7,38.5
30,22.5,20.9,50.9,54.7,12.4,3.11,573,25,12.7,64.4
25.3,19.6,9.82,22.7,36.2,101,31.3,352,13.9,17.5,97.3
53.3,27.4,20.4,28.4,66.1,6.73,66.7,1655,40,7.3,79.1
108,70.4,14.2,24.8,31.9,61,16.1,1018,15.4,1.35,106
34,19.3,118,30.8,29.4,141,12.1,297,6.15,8.51,76.4
27.4,6.61,67.3,30.8,30.2,41,30.8,1094,11.5,21.5,108
30.8,3.79,70.4,34.6,16.4,41,56.2,965,3.43,18.3,53.3
21.3,14.7,16.5,19.3,36.2,106,23.7,519,14.9,24.4,27.9
45.3,18.9,74.3,26.2,9.47,20.4,17,533,2.41,21.9,69.8
23.7,8.82,66.7,5.88,18.1,119,14.1,445,3,17.8,7.23
28.1,17.6,59.4,18.8,21.9,29.4,15,470,1.88,14.9,49.1
10.3,3.79,271,15.7,44.9,62.6,16.5,552,6.98,53.3,42.6
13.6,3.59,2.89,22.9,28.1,10.9,46.1,874,12.5,9.22,16.5
11.1,7.99,58.8,61,11.4,13,27.9,215,5.14,17.9,101
24.8,8.82,3.85,21.9,44.9,17.2,13.3,965,9.22,11.5,59.9
65.5,36.8,11,46.1,33.4,104,13.3,914,13.7,11.3,102
19.5,11.3,138,101,29.2,422,101,649,8.43,26.9,142
33.1,14.9,154,17.2,20.9,10.1,16.7,542,11.1,17.8,61.5
18.1,11.7,67.9,20.4,17.5,35.2,32.5,599,1.63,15.5,54.7
28.9,11.7,23.3,19.5,39.6,13.6,24.8,509,18.3,4.78,50.5
59.4,34,50.9,13.3,63.2,38.2,98.2,704,32.8,26.7,34
24.4,8.58,64.9,19.5,20.4,43.7,44.9,466,1.6,32.8,48.7
24.6,4.53,51.9,25.3,18.8,145,21.1,255,4.83,12.3,70.4
16,8.43,93.9,19.1,23.5,94.7,17.2,244,3.08,6.32,45.7
164,66.7,18.3,33.1,29.7,27.4,46.6,3220,17.8,25.3,78.4
36.5,23.7,18.9,11.4,23.1,94.7,117,355,9.82,32.5,17.6
71.7,15.4,57.3,26.4,22.1,21.5,8.13,610,2.07,15.1,29.4
13.9,4.41,13.2,21.1,31.3,38.2,50,461,20.5,7.64,63.8
10.1,10.8,12.1,155,39.2,32.8,22.3,362,19.6,28.6,227
23.1,7.7,1.11,29.7,25.3,33.4,8.58,1252,12.6,13.7,64.4
17.9,14.3,33.1,15.3,38.9,71,31.6,505,18.9,19.5,57.8
33.1,21.5,12.5,23.7,43.7,178,31.6,255,28.1,13.5,75
17.8,6.85,63.8,25,16,109,16.3,445,3.85,52.3,48.7
25.7,9.56,79.9,53.3,19.6,32.5,3.72,1346,1.42,27.4,61
22.3,3.85,73,46.1,32.5,15.5,31.6,5.57,6.15,16.1,96.5
18.6,11.5,7.3,26.2,24.1,93.9,14.9,474,16.4,12.5,54.7
11.1,4.33,13.3,39.2,36.5,75,14.1,562,18.3,66.1,118
37.9,12.2,23.1,56.2,47,39.2,16.1,1000,17.3,29.7,96.5
42.9,23.1,18.6,52.8,37.9,18.9,3.85,710,21.1,24.4,89
33.7,19.1,46.6,38.5,138,48.3,75,308,89,21.5,25.3
118,53.3,30.5,46.1,12.9,51.4,14.5,882,3.34,20.9,96.5
24.1,21.5,13.6,34.9,21.3,133,30,403,9.56,18.1,62.6
19.3,13.3,29.4,20,31.9,75.7,63.2,400,19.3,47.4,18.3
31.1,18.8,138,32.5,33.1,17,12.7,334,5.88,12.9,65.5
47,38.5,56.2,41,23.1,32.2,27.4,777,6.38,14.9,85.1
9.91,4.91,98.2,25,25.9,26.2,42.6,385,5.42,36.5,79.9
40.3,19.1,24.4,20.2,32.5,26.9,23.9,422,22.9,8.2,42.2
6.55,10.9,21.9,19.1,43.7,68.5,28.6,267,20.5,10.2,61
26.4,17.2,23.7,10.9,47,155,21.3,389,17.3,6.1,17.5
19.8,9.73,15.4,22.3,34.6,63.8,126,552,20.9,33.4,36.5
32.8,19.1,108,14.9,15.5,167,31.3,286,5.19,21.7,14.6
36.2,21.5,14.9,24.4,35.2,26.9,8.58,284,17,25.7,17.3
53.8,26.9,20.5,10.9,38.9,127,29.7,337,25.9,65.5,63.2
117,15.5,10.7,16,46.1,157,48.3,1499,28.9,12.5,35.2
12.4,5.57,18.8,27.6,37.2,173,37.2,604,15.8,14.5,57.3
30,16.7,17.3,15.5,20.5,114,15.8,1000,13.6,15,24.4
42.9,29.2,9.06,40.7,24.1,135,27.9,385,14.3,14.6,69.8
33.1,10.6,4.26,35.9,28.9,53.8,75,1382,10.6,44.9,74.3
72.3,49.6,17.9,35.5,32.5,88.2,16.8,730,17.2,16.5,101
34.3,23.9,8.66,17.2,13.2,21.1,12.7,379,1,22.1,41.4
12.3,5.28,31.9,66.1,63.2,17.2,32.8,158,25.7,11.4,82
31.3,19.5,3.49,38.2,30.5,10.3,2.48,382,18.8,18.8,86.6
86.6,17.3,15.8,7.23,38.2,155,13.5,195,20.5,20.7,14.1
83.5,38.2,15,52.3,41,14.5,49.1,750,25.5,2.81,89.8
27.1,11.3,68.5,41.4,14.6,178,48.3,528,3.82,27.6,97.3
39.2,17.5,10.2,13.7,30.2,34.9,35.5,505,13.9,11,26.9
13.7,3.31,55.2,21.3,1.53,20.7,15.5,407,1.78,13.7,89
35.9,21.7,11.3,23.9,36.5,12.6,20,269,24.4,17.6,66.1
8.13,7.64,87.4,53.3,40.3,382,87.4,305,6.49,25.3,129
12.1,7.23,17.8,19.3,47,85.8,46.1,599,21.9,37.5,39.2
41,29.7,26.4,18.6,11.9,12,36.2,346,5.78,4.03,25
22.9,5.33,21.1,19.3,40,98.2,29.7,365,23.3,7.17,45.7
21.5,14.9,1.57,20.5,89,57.3,12.1,422,1,25,62.1
20.5,4.83,17.8,32.5,37.5,83.5,131,25.3,23.9,20.2,71
113,14.7,9.22,31.6,28.6,11.3,14.9,181,17.5,6.67,50
18.3,8.58,104,31.6,33.4,12.9,21.7,523,10.1,4.41,102
17.5,6.44,4.53,24.6,9.82,16.5,3.11,542,3.49,11.2,63.2
18.4,13.3,58.8,66.1,18.9,87.4,20.4,359,1,14.5,233
80.6,42.6,11.3,24.1,35.9,36.8,17.5,1075,11.8,18.9,38.9
22.7,12,15.4,44.1,50.5,23.1,16.1,547,22.9,6.04,98.2
26.7,22.7,71.7,24.6,39.6,6.49,26.2,219,10.7,8.66,38.9
47.8,26.2,9.65,29.4,13.8,22.7,13.9,311,10.8,22.5,87.4
15.5,6.26,12.7,21.5,28.9,71.7,2.27,418,14.7,1,75.7
15.1,7.77,18.6,18.9,32.8,80.6,23.7,396,20,15.7,79.9
57.3,43.7,98.2,19.5,38.9,54.7,47.4,661,11.2,19.3,52.8
109,70.4,91.4,17,25.9,35.2,12.9,1358,9.73,33.7,63.8
21.1,7.84,69.8,44.9,12.4,17.6,45.7,500,4.53,7.99,107
59.4,31.1,18.4,18.4,51.9,76.4,16.3,667,18.4,17,59.4
36.2,16,167,74.3,27.9,61.5,24.8,542,7.7,48.7,106
16.7,7.99,14.3,40.7,43.3,16.8,14.5,655,24.8,11.7,71
11.1,4.29,29.2,13.1,27.9,24.4,17,392,12.3,23.7,21.5
54.2,29.4,8.9,51.4,26.7,120,31.6,1762,19.1,33.7,149
36.5,17.9,57.3,12.3,21.1,112,18.1,346,5,17.8,25.9
34.9,13.3,16.1,48.3,31.1,30,35.2,349,13.7,12.3,64.4
22.9,15.3,68.5,11.3,10.4,16.4,37.9,414,4.14,15.5,36.2
50,30.2,10.3,26.7,22.3,44.5,4.49,302,17.9,12.9,51.9
29.4,11.8,89.8,7.57,17.2,308,38.2,355,8.13,9.65,21.7
40,23.5,13,35.9,24.6,14.3,13,300,13.2,17.6,93.9
32.5,24.4,16.4,20.5,41.4,88.2,30,414,25.3,13.6,56.7
29.2,13.2,29.2,16.1,49.6,75,14.3,466,24.8,11,66.1
50.5,29.7,13.2,17,52.8,99.1,50,1346,25.3,11.2,27.6
39.2,25.3,20.9,33.4,33.7,19.8,10.1,400,25.7,21.7,49.1
45.3,5.99,41,51.9,10.3,21.7,45.3,49.1,7.77,12.3,157
25,16.1,262,33.4,24.1,16.3,17.5,466,9.47,13.5,124
13.9,2.53,89,16.4,58.8,39.2,6.85,239,4.07,34.6,37.9
22.9,12.3,106,25.5,23.5,15.1,13.3,474,2.05,22.1,45.3
53.3,40.3,13.2,86.6,38.5,53.8,15.4,316,18.9,33.1,163
